Replication, Day, Queued To, Queue Amount
0, 0, total, 0
0, 1, total, 0
0, 2, total, 0
0, 3, total, 0
0, 4, total, 0
0, 5, total, 0
0, 6, total, 56
0, 7, total, 108
0, 8, total, 63
0, 9, total, 17
0, 10, total, 0
0, 11, total, 0
0, 12, total, 0
0, 13, total, 67
0, 14, total, 120
0, 15, total, 77
0, 16, total, 33
0, 17, total, 0
0, 18, total, 0
0, 19, total, 0
0, 20, total, 48
0, 21, total, 102
0, 22, total, 65
0, 23, total, 2
0, 24, total, 0
0, 25, total, 0
0, 26, total, 0
0, 27, total, 55
0, 28, total, 97
0, 29, total, 24
0, 30, total, 0
0, 31, total, 0
0, 32, total, 0
0, 33, total, 0
0, 34, total, 59
0, 35, total, 123
0, 36, total, 94
0, 37, total, 26
0, 38, total, 0
0, 39, total, 0
0, 40, total, 0
0, 41, total, 49
0, 42, total, 112
0, 43, total, 73
0, 44, total, 12
0, 45, total, 0
0, 46, total, 0
0, 47, total, 0
0, 48, total, 55
0, 49, total, 118
0, 50, total, 69
0, 51, total, 22
0, 52, total, 0
0, 53, total, 0
0, 54, total, 0
0, 55, total, 48
0, 56, total, 93
0, 57, total, 14
0, 58, total, 0
0, 59, total, 0
0, 60, total, 0
0, 61, total, 0
0, 62, total, 53
0, 63, total, 113
0, 64, total, 76
0, 65, total, 38
0, 66, total, 0
0, 67, total, 0
0, 68, total, 0
0, 69, total, 43
0, 70, total, 91
0, 71, total, 39
0, 72, total, 1
0, 73, total, 0
0, 74, total, 0
0, 75, total, 0
0, 76, total, 50
0, 77, total, 102
0, 78, total, 33
0, 79, total, 0
0, 80, total, 0
0, 81, total, 0
0, 82, total, 0
0, 83, total, 45
0, 84, total, 98
0, 85, total, 36
0, 86, total, 6
0, 87, total, 0
0, 88, total, 0
0, 89, total, 0
0, 90, total, 66
0, 91, total, 110
0, 92, total, 77
0, 93, total, 46
0, 94, total, 7
0, 95, total, 0
0, 96, total, 0
0, 97, total, 54
0, 98, total, 99
0, 99, total, 54
0, 100, total, 1
0, 101, total, 0
0, 102, total, 0
0, 103, total, 0
0, 104, total, 48
0, 105, total, 109
0, 106, total, 66
0, 107, total, 26
0, 108, total, 0
0, 109, total, 0
0, 110, total, 0
0, 111, total, 51
0, 112, total, 90
0, 113, total, 41
0, 114, total, 0
0, 115, total, 0
0, 116, total, 0
0, 117, total, 0
0, 118, total, 50
0, 119, total, 104
0, 120, total, 69
0, 121, total, 25
0, 122, total, 0
0, 123, total, 0
0, 124, total, 0
0, 125, total, 54
0, 126, total, 99
0, 127, total, 58
0, 128, total, 11
0, 129, total, 0
0, 130, total, 0
0, 131, total, 0
0, 132, total, 56
0, 133, total, 107
0, 134, total, 72
0, 135, total, 35
0, 136, total, 0
0, 137, total, 0
0, 138, total, 0
0, 139, total, 53
0, 140, total, 120
0, 141, total, 77
0, 142, total, 30
0, 143, total, 0
0, 144, total, 0
0, 145, total, 0
0, 146, total, 50
0, 147, total, 109
0, 148, total, 42
0, 149, total, 0
0, 150, total, 0
0, 151, total, 0
0, 152, total, 0
0, 153, total, 51
0, 154, total, 95
0, 155, total, 49
0, 156, total, 4
0, 157, total, 0
0, 158, total, 0
0, 159, total, 0
0, 160, total, 59
0, 161, total, 117
0, 162, total, 84
0, 163, total, 41
0, 164, total, 7
0, 165, total, 0
0, 166, total, 0
0, 167, total, 53
0, 168, total, 96
0, 169, total, 51
0, 170, total, 0
0, 171, total, 0
0, 172, total, 0
0, 173, total, 0
0, 174, total, 42
0, 175, total, 93
0, 176, total, 33
0, 177, total, 0
0, 178, total, 0
0, 179, total, 0
0, 180, total, 0
0, 181, total, 50
0, 182, total, 95
0, 183, total, 48
0, 184, total, 4
0, 185, total, 0
0, 186, total, 0
0, 187, total, 0
0, 188, total, 51
0, 189, total, 116
0, 190, total, 69
0, 191, total, 39
0, 192, total, 0
0, 193, total, 0
0, 194, total, 0
0, 195, total, 56
0, 196, total, 126
0, 197, total, 82
0, 198, total, 38
0, 199, total, 0
0, 200, total, 0
0, 201, total, 0
0, 202, total, 52
0, 203, total, 110
0, 204, total, 58
0, 205, total, 0
0, 206, total, 0
0, 207, total, 0
0, 208, total, 0
0, 209, total, 62
0, 210, total, 112
0, 211, total, 65
0, 212, total, 8
0, 213, total, 0
0, 214, total, 0
0, 215, total, 0
0, 216, total, 53
0, 217, total, 121
0, 218, total, 76
0, 219, total, 39
0, 220, total, 2
0, 221, total, 0
0, 222, total, 0
0, 223, total, 41
0, 224, total, 96
0, 225, total, 44
0, 226, total, 10
0, 227, total, 0
0, 228, total, 0
0, 229, total, 0
0, 230, total, 68
0, 231, total, 125
0, 232, total, 78
0, 233, total, 48
0, 234, total, 9
0, 235, total, 0
0, 236, total, 0
0, 237, total, 53
0, 238, total, 108
0, 239, total, 47
0, 240, total, 14
0, 241, total, 0
0, 242, total, 0
0, 243, total, 0
0, 244, total, 59
0, 245, total, 120
0, 246, total, 58
0, 247, total, 1
0, 248, total, 0
0, 249, total, 0
0, 250, total, 0
0, 251, total, 68
0, 252, total, 118
0, 253, total, 91
0, 254, total, 60
0, 255, total, 0
0, 256, total, 0
0, 257, total, 0
0, 258, total, 49
0, 259, total, 112
0, 260, total, 61
0, 261, total, 0
0, 262, total, 0
0, 263, total, 0
0, 264, total, 0
0, 265, total, 63
0, 266, total, 122
0, 267, total, 101
0, 268, total, 75
0, 269, total, 17
0, 270, total, 0
0, 271, total, 0
0, 272, total, 42
0, 273, total, 102
0, 274, total, 67
0, 275, total, 14
0, 276, total, 0
0, 277, total, 0
0, 278, total, 0
0, 279, total, 67
0, 280, total, 121
0, 281, total, 91
0, 282, total, 52
0, 283, total, 14
0, 284, total, 0
0, 285, total, 0
0, 286, total, 47
0, 287, total, 106
0, 288, total, 69
0, 289, total, 39
0, 290, total, 0
0, 291, total, 0
0, 292, total, 0
0, 293, total, 50
0, 294, total, 126
0, 295, total, 85
0, 296, total, 58
0, 297, total, 9
0, 298, total, 0
0, 299, total, 0
0, 300, total, 45
0, 301, total, 109
0, 302, total, 66
0, 303, total, 19
0, 304, total, 0
0, 305, total, 0
0, 306, total, 0
0, 307, total, 46
0, 308, total, 112
0, 309, total, 88
0, 310, total, 56
0, 311, total, 29
0, 312, total, 0
0, 313, total, 0
0, 314, total, 60
0, 315, total, 119
0, 316, total, 89
0, 317, total, 47
0, 318, total, 10
0, 319, total, 0
0, 320, total, 0
0, 321, total, 66
0, 322, total, 121
0, 323, total, 85
0, 324, total, 50
0, 325, total, 18
0, 326, total, 0
0, 327, total, 0
0, 328, total, 63
0, 329, total, 132
0, 330, total, 103
0, 331, total, 54
0, 332, total, 0
0, 333, total, 0
0, 334, total, 0
0, 335, total, 65
0, 336, total, 135
0, 337, total, 86
0, 338, total, 64
0, 339, total, 17
0, 340, total, 0
0, 341, total, 0
0, 342, total, 59
0, 343, total, 105
0, 344, total, 61
0, 345, total, 32
0, 346, total, 0
0, 347, total, 0
0, 348, total, 0
0, 349, total, 39
0, 350, total, 106
0, 351, total, 45
0, 352, total, 14
0, 353, total, 0
0, 354, total, 0
0, 355, total, 0
0, 356, total, 64
0, 357, total, 126
0, 358, total, 101
0, 359, total, 66
0, 360, total, 34
0, 361, total, 41
0, 362, total, 21
0, 363, total, 115
0, 364, total, 212
0, 365, total, 229
0, 366, total, 191
0, 367, total, 138
0, 368, total, 154
0, 369, total, 152
0, 370, total, 282
0, 371, total, 369
0, 372, total, 366
0, 373, total, 328
0, 374, total, 278
0, 375, total, 282
0, 376, total, 323
0, 377, total, 425
0, 378, total, 498
0, 379, total, 523
0, 380, total, 502
0, 381, total, 474
0, 382, total, 498
0, 383, total, 530
0, 384, total, 616
0, 385, total, 719
0, 386, total, 710
0, 387, total, 649
0, 388, total, 604
0, 389, total, 633
0, 390, total, 632
0, 391, total, 757
0, 392, total, 856
0, 393, total, 844
0, 394, total, 831
0, 395, total, 815
0, 396, total, 830
0, 397, total, 848
0, 398, total, 958
0, 399, total, 1056
0, 400, total, 1057
0, 401, total, 1008
0, 402, total, 953
0, 403, total, 987
0, 404, total, 1027
0, 405, total, 1135
0, 406, total, 1237
0, 407, total, 1256
0, 408, total, 1212
0, 409, total, 1198
0, 410, total, 1226
0, 411, total, 1269
0, 412, total, 1378
0, 413, total, 1461
0, 414, total, 1454
0, 415, total, 1402
0, 416, total, 1329
0, 417, total, 1377
0, 418, total, 1368
0, 419, total, 1461
0, 420, total, 1544
0, 421, total, 1568
0, 422, total, 1530
0, 423, total, 1458
0, 424, total, 1507
0, 425, total, 1552
0, 426, total, 1680
0, 427, total, 1777
0, 428, total, 1791
0, 429, total, 1744
0, 430, total, 1703
0, 431, total, 1739
0, 432, total, 1758
0, 433, total, 1854
0, 434, total, 1966
0, 435, total, 1994
0, 436, total, 1961
0, 437, total, 1919
0, 438, total, 1972
0, 439, total, 2008
0, 440, total, 2093
0, 441, total, 2200
0, 442, total, 2212
0, 443, total, 2167
0, 444, total, 2145
0, 445, total, 2182
0, 446, total, 2210
0, 447, total, 2325
0, 448, total, 2401
0, 449, total, 2420
0, 450, total, 2382
0, 451, total, 2334
0, 452, total, 2351
0, 453, total, 2362
0, 454, total, 2505
0, 455, total, 2603
0, 456, total, 2592
0, 457, total, 2550
0, 458, total, 2506
0, 459, total, 2543
0, 460, total, 2559
0, 461, total, 2660
0, 462, total, 2760
0, 463, total, 2761
0, 464, total, 2723
0, 465, total, 2680
0, 466, total, 2722
0, 467, total, 2772
0, 468, total, 2882
0, 469, total, 2999
0, 470, total, 3014
0, 471, total, 2960
0, 472, total, 2908
0, 473, total, 2952
0, 474, total, 2978
0, 475, total, 3066
0, 476, total, 3177
0, 477, total, 3210
0, 478, total, 3155
0, 479, total, 3115
0, 480, total, 3143
0, 481, total, 3195
0, 482, total, 3319
0, 483, total, 3420
0, 484, total, 3427
0, 485, total, 3366
0, 486, total, 3332
0, 487, total, 3370
0, 488, total, 3404
0, 489, total, 3516
0, 490, total, 3614
0, 491, total, 3593
0, 492, total, 3545
0, 493, total, 3505
0, 494, total, 3532
0, 495, total, 3548
0, 496, total, 3669
0, 497, total, 3765
0, 498, total, 3766
0, 499, total, 3725
0, 500, total, 3687
0, 501, total, 3713
0, 502, total, 3771
0, 503, total, 3880
0, 504, total, 3982
0, 505, total, 3968
0, 506, total, 3919
0, 507, total, 3846
0, 508, total, 3906
0, 509, total, 3906
0, 510, total, 4000
0, 511, total, 4091
0, 512, total, 4086
0, 513, total, 4036
0, 514, total, 3975
0, 515, total, 4027
0, 516, total, 4055
0, 517, total, 4156
0, 518, total, 4246
0, 519, total, 4234
0, 520, total, 4196
0, 521, total, 4168
0, 522, total, 4175
0, 523, total, 4194
0, 524, total, 4358
0, 525, total, 4464
0, 526, total, 4472
0, 527, total, 4443
0, 528, total, 4418
0, 529, total, 4436
0, 530, total, 4467
0, 531, total, 4561
0, 532, total, 4665
0, 533, total, 4678
0, 534, total, 4645
0, 535, total, 4626
0, 536, total, 4655
0, 537, total, 4654
0, 538, total, 4741
0, 539, total, 4829
0, 540, total, 4832
0, 541, total, 4794
0, 542, total, 4751
0, 543, total, 4788
0, 544, total, 4818
0, 545, total, 4907
0, 546, total, 5007
0, 547, total, 5017
0, 548, total, 4977
0, 549, total, 4954
0, 550, total, 5009
0, 551, total, 5046
0, 552, total, 5176
0, 553, total, 5262
0, 554, total, 5255
0, 555, total, 5213
0, 556, total, 5160
0, 557, total, 5215
0, 558, total, 5231
0, 559, total, 5371
0, 560, total, 5469
0, 561, total, 5470
0, 562, total, 5439
0, 563, total, 5362
0, 564, total, 5395
0, 565, total, 5412
0, 566, total, 5499
0, 567, total, 5585
0, 568, total, 5582
0, 569, total, 5544
0, 570, total, 5538
0, 571, total, 5564
0, 572, total, 5608
0, 573, total, 5728
0, 574, total, 5821
0, 575, total, 5805
0, 576, total, 5758
0, 577, total, 5705
0, 578, total, 5728
0, 579, total, 5751
0, 580, total, 5866
0, 581, total, 5959
0, 582, total, 5965
0, 583, total, 5953
0, 584, total, 5915
0, 585, total, 5950
0, 586, total, 5984
0, 587, total, 6090
0, 588, total, 6185
0, 589, total, 6197
0, 590, total, 6164
0, 591, total, 6116
0, 592, total, 6163
0, 593, total, 6198
0, 594, total, 6339
0, 595, total, 6458
0, 596, total, 6445
0, 597, total, 6399
0, 598, total, 6348
0, 599, total, 6388
0, 600, total, 6404
0, 601, total, 6513
0, 602, total, 6611
0, 603, total, 6624
0, 604, total, 6588
0, 605, total, 6551
0, 606, total, 6598
0, 607, total, 6645
0, 608, total, 6741
0, 609, total, 6836
0, 610, total, 6832
0, 611, total, 6790
0, 612, total, 6743
0, 613, total, 6747
0, 614, total, 6769
0, 615, total, 6901
0, 616, total, 7008
0, 617, total, 7000
0, 618, total, 6951
0, 619, total, 6909
0, 620, total, 6935
0, 621, total, 6972
0, 622, total, 7073
0, 623, total, 7172
0, 624, total, 7163
0, 625, total, 7140
0, 626, total, 7108
0, 627, total, 7120
0, 628, total, 7105
0, 629, total, 7232
0, 630, total, 7343
0, 631, total, 7352
0, 632, total, 7319
0, 633, total, 7264
0, 634, total, 7286
0, 635, total, 7340
0, 636, total, 7461
0, 637, total, 7577
0, 638, total, 7577
0, 639, total, 7523
0, 640, total, 7482
0, 641, total, 7490
0, 642, total, 7505
0, 643, total, 7626
0, 644, total, 7747
0, 645, total, 7723
0, 646, total, 7688
0, 647, total, 7662
0, 648, total, 7697
0, 649, total, 7704
0, 650, total, 7833
0, 651, total, 7943
0, 652, total, 7946
0, 653, total, 7913
0, 654, total, 7879
0, 655, total, 7910
0, 656, total, 7892
0, 657, total, 8029
0, 658, total, 8130
0, 659, total, 8114
0, 660, total, 8079
0, 661, total, 8024
0, 662, total, 8055
0, 663, total, 8084
0, 664, total, 8198
0, 665, total, 8283
0, 666, total, 8298
0, 667, total, 8263
0, 668, total, 8199
0, 669, total, 8225
0, 670, total, 8263
0, 671, total, 8397
0, 672, total, 8525
0, 673, total, 8518
0, 674, total, 8494
0, 675, total, 8454
0, 676, total, 8485
0, 677, total, 8509
0, 678, total, 8648
0, 679, total, 8766
0, 680, total, 8759
0, 681, total, 8721
0, 682, total, 8673
0, 683, total, 8703
0, 684, total, 8744
0, 685, total, 8879
0, 686, total, 8988
0, 687, total, 8991
0, 688, total, 8968
0, 689, total, 8922
0, 690, total, 8957
0, 691, total, 8984
0, 692, total, 9113
0, 693, total, 9209
0, 694, total, 9192
0, 695, total, 9147
0, 696, total, 9106
0, 697, total, 9150
0, 698, total, 9179
0, 699, total, 9325
0, 700, total, 9444
0, 701, total, 9451
0, 702, total, 9419
0, 703, total, 9367
0, 704, total, 9376
0, 705, total, 9382
0, 706, total, 9503
0, 707, total, 9603
0, 708, total, 9611
0, 709, total, 9588
0, 710, total, 9542
0, 711, total, 9596
0, 712, total, 9635
0, 713, total, 9749
0, 714, total, 9833
0, 715, total, 9853
0, 716, total, 9806
0, 717, total, 9767
0, 718, total, 9796
0, 719, total, 9797
0, 720, total, 9934
0, 721, total, 10068
0, 722, total, 10067
0, 723, total, 10043
0, 724, total, 9998
0, 725, total, 9999
0, 726, total, 9995
0, 727, total, 10095
0, 728, total, 10191
0, 729, total, 10232
0, 730, total, 10186
0, 731, total, 10110
0, 732, total, 10103
0, 733, total, 10094
0, 734, total, 10182
0, 735, total, 10296
0, 736, total, 10300
0, 737, total, 10263
0, 738, total, 10231
0, 739, total, 10261
0, 740, total, 10251
0, 741, total, 10355
0, 742, total, 10452
0, 743, total, 10454
0, 744, total, 10413
0, 745, total, 10378
0, 746, total, 10412
0, 747, total, 10449
0, 748, total, 10575
0, 749, total, 10676
0, 750, total, 10661
0, 751, total, 10629
0, 752, total, 10589
0, 753, total, 10579
0, 754, total, 10583
0, 755, total, 10700
0, 756, total, 10791
0, 757, total, 10812
0, 758, total, 10768
0, 759, total, 10725
0, 760, total, 10719
0, 761, total, 10699
0, 762, total, 10790
0, 763, total, 10878
0, 764, total, 10890
0, 765, total, 10861
0, 766, total, 10820
0, 767, total, 10837
0, 768, total, 10882
0, 769, total, 10948
0, 770, total, 11038
0, 771, total, 11065
0, 772, total, 11014
0, 773, total, 10948
0, 774, total, 10945
0, 775, total, 10934
0, 776, total, 11073
0, 777, total, 11154
0, 778, total, 11151
0, 779, total, 11119
0, 780, total, 11076
0, 781, total, 11062
0, 782, total, 11067
0, 783, total, 11173
0, 784, total, 11274
0, 785, total, 11300
0, 786, total, 11269
0, 787, total, 11219
0, 788, total, 11181
0, 789, total, 11178
0, 790, total, 11269
0, 791, total, 11372
0, 792, total, 11372
0, 793, total, 11334
0, 794, total, 11315
0, 795, total, 11352
0, 796, total, 11344
0, 797, total, 11422
0, 798, total, 11514
0, 799, total, 11497
0, 800, total, 11462
0, 801, total, 11419
0, 802, total, 11430
0, 803, total, 11439
0, 804, total, 11545
0, 805, total, 11658
0, 806, total, 11652
0, 807, total, 11616
0, 808, total, 11587
0, 809, total, 11596
0, 810, total, 11580
0, 811, total, 11653
0, 812, total, 11762
0, 813, total, 11747
0, 814, total, 11704
0, 815, total, 11660
0, 816, total, 11674
0, 817, total, 11681
0, 818, total, 11782
0, 819, total, 11865
0, 820, total, 11879
0, 821, total, 11835
0, 822, total, 11800
0, 823, total, 11769
0, 824, total, 11774
0, 825, total, 11902
0, 826, total, 12005
0, 827, total, 11996
0, 828, total, 11960
0, 829, total, 11908
0, 830, total, 11891
0, 831, total, 11913
0, 832, total, 12025
0, 833, total, 12138
0, 834, total, 12159
0, 835, total, 12115
0, 836, total, 12081
0, 837, total, 12090
0, 838, total, 12065
0, 839, total, 12159
0, 840, total, 12260
0, 841, total, 12295
0, 842, total, 12265
0, 843, total, 12234
0, 844, total, 12214
0, 845, total, 12265
0, 846, total, 12369
0, 847, total, 12443
0, 848, total, 12447
0, 849, total, 12395
0, 850, total, 12348
0, 851, total, 12345
0, 852, total, 12347
0, 853, total, 12471
0, 854, total, 12574
0, 855, total, 12578
0, 856, total, 12525
0, 857, total, 12460
0, 858, total, 12423
0, 859, total, 12424
0, 860, total, 12527
0, 861, total, 12616
0, 862, total, 12647
0, 863, total, 12597
0, 864, total, 12545
0, 865, total, 12536
0, 866, total, 12542
0, 867, total, 12618
