Replication, Day, Queued To, Queue Amount
0, 0, total, 0
0, 1, total, 0
0, 2, total, 0
0, 3, total, 0
0, 4, total, 0
0, 5, total, 0
0, 6, total, 36
0, 7, total, 76
0, 8, total, 23
0, 9, total, 0
0, 10, total, 0
0, 11, total, 0
0, 12, total, 0
0, 13, total, 35
0, 14, total, 71
0, 15, total, 11
0, 16, total, 0
0, 17, total, 0
0, 18, total, 0
0, 19, total, 0
0, 20, total, 35
0, 21, total, 64
0, 22, total, 5
0, 23, total, 0
0, 24, total, 0
0, 25, total, 0
0, 26, total, 0
0, 27, total, 39
0, 28, total, 81
0, 29, total, 17
0, 30, total, 0
0, 31, total, 0
0, 32, total, 0
0, 33, total, 0
0, 34, total, 45
0, 35, total, 87
0, 36, total, 24
0, 37, total, 0
0, 38, total, 0
0, 39, total, 0
0, 40, total, 0
0, 41, total, 41
0, 42, total, 87
0, 43, total, 17
0, 44, total, 0
0, 45, total, 0
0, 46, total, 0
0, 47, total, 0
0, 48, total, 51
0, 49, total, 89
0, 50, total, 5
0, 51, total, 0
0, 52, total, 0
0, 53, total, 0
0, 54, total, 0
0, 55, total, 43
0, 56, total, 92
0, 57, total, 43
0, 58, total, 0
0, 59, total, 0
0, 60, total, 0
0, 61, total, 0
0, 62, total, 38
0, 63, total, 79
0, 64, total, 21
0, 65, total, 0
0, 66, total, 0
0, 67, total, 0
0, 68, total, 0
0, 69, total, 34
0, 70, total, 68
0, 71, total, 14
0, 72, total, 0
0, 73, total, 0
0, 74, total, 0
0, 75, total, 0
0, 76, total, 44
0, 77, total, 95
0, 78, total, 44
0, 79, total, 0
0, 80, total, 0
0, 81, total, 0
0, 82, total, 0
0, 83, total, 42
0, 84, total, 77
0, 85, total, 30
0, 86, total, 0
0, 87, total, 0
0, 88, total, 0
0, 89, total, 0
0, 90, total, 35
0, 91, total, 81
0, 92, total, 25
0, 93, total, 0
0, 94, total, 0
0, 95, total, 0
0, 96, total, 0
0, 97, total, 40
0, 98, total, 82
0, 99, total, 0
0, 100, total, 0
0, 101, total, 0
0, 102, total, 0
0, 103, total, 0
0, 104, total, 40
0, 105, total, 72
0, 106, total, 0
0, 107, total, 0
0, 108, total, 0
0, 109, total, 0
0, 110, total, 0
0, 111, total, 28
0, 112, total, 61
0, 113, total, 6
0, 114, total, 0
0, 115, total, 0
0, 116, total, 0
0, 117, total, 0
0, 118, total, 61
0, 119, total, 101
0, 120, total, 33
0, 121, total, 0
0, 122, total, 0
0, 123, total, 0
0, 124, total, 0
0, 125, total, 49
0, 126, total, 104
0, 127, total, 34
0, 128, total, 0
0, 129, total, 0
0, 130, total, 0
0, 131, total, 0
0, 132, total, 43
0, 133, total, 78
0, 134, total, 12
0, 135, total, 0
0, 136, total, 0
0, 137, total, 0
0, 138, total, 0
0, 139, total, 41
0, 140, total, 75
0, 141, total, 0
0, 142, total, 0
0, 143, total, 0
0, 144, total, 0
0, 145, total, 0
0, 146, total, 44
0, 147, total, 84
0, 148, total, 45
0, 149, total, 0
0, 150, total, 0
0, 151, total, 0
0, 152, total, 0
0, 153, total, 35
0, 154, total, 71
0, 155, total, 0
0, 156, total, 0
0, 157, total, 0
0, 158, total, 0
0, 159, total, 0
0, 160, total, 48
0, 161, total, 84
0, 162, total, 32
0, 163, total, 0
0, 164, total, 0
0, 165, total, 0
0, 166, total, 0
0, 167, total, 31
0, 168, total, 64
0, 169, total, 0
0, 170, total, 0
0, 171, total, 0
0, 172, total, 0
0, 173, total, 0
0, 174, total, 40
0, 175, total, 72
0, 176, total, 0
0, 177, total, 0
0, 178, total, 0
0, 179, total, 0
0, 180, total, 0
0, 181, total, 43
0, 182, total, 86
0, 183, total, 36
0, 184, total, 0
0, 185, total, 0
0, 186, total, 0
0, 187, total, 0
0, 188, total, 54
0, 189, total, 104
0, 190, total, 23
0, 191, total, 0
0, 192, total, 0
0, 193, total, 0
0, 194, total, 0
0, 195, total, 37
0, 196, total, 84
0, 197, total, 26
0, 198, total, 0
0, 199, total, 0
0, 200, total, 0
0, 201, total, 0
0, 202, total, 60
0, 203, total, 99
0, 204, total, 51
0, 205, total, 23
0, 206, total, 0
0, 207, total, 0
0, 208, total, 0
0, 209, total, 52
0, 210, total, 93
0, 211, total, 44
0, 212, total, 0
0, 213, total, 0
0, 214, total, 0
0, 215, total, 0
0, 216, total, 43
0, 217, total, 96
0, 218, total, 30
0, 219, total, 0
0, 220, total, 0
0, 221, total, 0
0, 222, total, 0
0, 223, total, 51
0, 224, total, 95
0, 225, total, 29
0, 226, total, 0
0, 227, total, 0
0, 228, total, 0
0, 229, total, 0
0, 230, total, 65
0, 231, total, 103
0, 232, total, 47
0, 233, total, 0
0, 234, total, 0
0, 235, total, 0
0, 236, total, 0
0, 237, total, 54
0, 238, total, 90
0, 239, total, 29
0, 240, total, 0
0, 241, total, 0
0, 242, total, 0
0, 243, total, 0
0, 244, total, 45
0, 245, total, 93
0, 246, total, 30
0, 247, total, 0
0, 248, total, 0
0, 249, total, 0
0, 250, total, 0
0, 251, total, 49
0, 252, total, 92
0, 253, total, 34
0, 254, total, 0
0, 255, total, 0
0, 256, total, 0
0, 257, total, 0
0, 258, total, 45
0, 259, total, 104
0, 260, total, 61
0, 261, total, 15
0, 262, total, 0
0, 263, total, 0
0, 264, total, 0
0, 265, total, 42
0, 266, total, 87
0, 267, total, 23
0, 268, total, 0
0, 269, total, 0
0, 270, total, 0
0, 271, total, 0
0, 272, total, 47
0, 273, total, 96
0, 274, total, 49
0, 275, total, 1
0, 276, total, 0
0, 277, total, 0
0, 278, total, 0
0, 279, total, 54
0, 280, total, 89
0, 281, total, 29
0, 282, total, 0
0, 283, total, 0
0, 284, total, 0
0, 285, total, 0
0, 286, total, 43
0, 287, total, 88
0, 288, total, 9
0, 289, total, 0
0, 290, total, 0
0, 291, total, 0
0, 292, total, 0
0, 293, total, 52
0, 294, total, 90
0, 295, total, 33
0, 296, total, 0
0, 297, total, 0
0, 298, total, 0
0, 299, total, 0
0, 300, total, 50
0, 301, total, 98
0, 302, total, 49
0, 303, total, 0
0, 304, total, 0
0, 305, total, 0
0, 306, total, 0
0, 307, total, 54
0, 308, total, 93
0, 309, total, 12
0, 310, total, 0
0, 311, total, 0
0, 312, total, 0
0, 313, total, 0
0, 314, total, 55
0, 315, total, 98
0, 316, total, 46
0, 317, total, 1
0, 318, total, 0
0, 319, total, 0
0, 320, total, 0
0, 321, total, 49
0, 322, total, 76
0, 323, total, 1
0, 324, total, 0
0, 325, total, 0
0, 326, total, 0
0, 327, total, 0
0, 328, total, 43
0, 329, total, 90
0, 330, total, 37
0, 331, total, 0
0, 332, total, 0
0, 333, total, 0
0, 334, total, 0
0, 335, total, 53
0, 336, total, 99
0, 337, total, 84
0, 338, total, 18
0, 339, total, 0
0, 340, total, 0
0, 341, total, 0
0, 342, total, 63
0, 343, total, 107
0, 344, total, 45
0, 345, total, 0
0, 346, total, 0
0, 347, total, 0
0, 348, total, 0
0, 349, total, 42
0, 350, total, 88
0, 351, total, 45
0, 352, total, 0
0, 353, total, 0
0, 354, total, 0
0, 355, total, 0
0, 356, total, 40
0, 357, total, 78
0, 358, total, 29
0, 359, total, 0
0, 360, total, 0
0, 361, total, 0
0, 362, total, 0
0, 363, total, 46
0, 364, total, 96
0, 365, total, 46
0, 366, total, 0
0, 367, total, 0
0, 368, total, 0
0, 369, total, 0
0, 370, total, 53
0, 371, total, 99
0, 372, total, 50
0, 373, total, 0
0, 374, total, 0
0, 375, total, 0
0, 376, total, 0
0, 377, total, 50
0, 378, total, 95
0, 379, total, 35
0, 380, total, 0
0, 381, total, 0
0, 382, total, 0
0, 383, total, 0
0, 384, total, 46
0, 385, total, 85
0, 386, total, 35
0, 387, total, 0
0, 388, total, 0
0, 389, total, 0
0, 390, total, 0
0, 391, total, 40
0, 392, total, 90
0, 393, total, 38
0, 394, total, 0
0, 395, total, 0
0, 396, total, 0
0, 397, total, 0
0, 398, total, 61
0, 399, total, 107
0, 400, total, 45
0, 401, total, 0
0, 402, total, 0
0, 403, total, 0
0, 404, total, 0
0, 405, total, 46
0, 406, total, 109
0, 407, total, 66
0, 408, total, 3
0, 409, total, 0
0, 410, total, 0
0, 411, total, 0
0, 412, total, 47
0, 413, total, 97
0, 414, total, 31
0, 415, total, 0
0, 416, total, 0
0, 417, total, 0
0, 418, total, 0
0, 419, total, 41
0, 420, total, 80
0, 421, total, 41
0, 422, total, 1
0, 423, total, 0
0, 424, total, 0
0, 425, total, 0
0, 426, total, 48
0, 427, total, 98
0, 428, total, 37
0, 429, total, 0
0, 430, total, 0
0, 431, total, 0
0, 432, total, 0
0, 433, total, 46
0, 434, total, 90
0, 435, total, 23
0, 436, total, 0
0, 437, total, 0
0, 438, total, 0
0, 439, total, 0
0, 440, total, 55
0, 441, total, 114
0, 442, total, 65
0, 443, total, 11
0, 444, total, 0
0, 445, total, 0
0, 446, total, 0
0, 447, total, 43
0, 448, total, 82
0, 449, total, 16
0, 450, total, 0
0, 451, total, 0
0, 452, total, 0
0, 453, total, 0
0, 454, total, 61
0, 455, total, 106
0, 456, total, 40
0, 457, total, 0
0, 458, total, 0
0, 459, total, 0
0, 460, total, 0
0, 461, total, 48
0, 462, total, 92
0, 463, total, 32
0, 464, total, 0
0, 465, total, 0
0, 466, total, 0
0, 467, total, 0
0, 468, total, 31
0, 469, total, 80
0, 470, total, 36
0, 471, total, 0
0, 472, total, 0
0, 473, total, 0
0, 474, total, 0
0, 475, total, 49
0, 476, total, 103
0, 477, total, 56
0, 478, total, 19
0, 479, total, 0
0, 480, total, 0
0, 481, total, 0
0, 482, total, 42
0, 483, total, 97
0, 484, total, 28
0, 485, total, 0
0, 486, total, 0
0, 487, total, 0
0, 488, total, 0
0, 489, total, 44
0, 490, total, 72
0, 491, total, 22
0, 492, total, 0
0, 493, total, 0
0, 494, total, 0
0, 495, total, 0
0, 496, total, 51
0, 497, total, 106
0, 498, total, 45
0, 499, total, 2
0, 500, total, 0
0, 501, total, 0
0, 502, total, 0
0, 503, total, 41
0, 504, total, 90
0, 505, total, 46
0, 506, total, 0
0, 507, total, 0
0, 508, total, 0
0, 509, total, 0
0, 510, total, 37
0, 511, total, 79
0, 512, total, 7
0, 513, total, 0
0, 514, total, 0
0, 515, total, 0
0, 516, total, 0
0, 517, total, 41
0, 518, total, 95
0, 519, total, 51
0, 520, total, 23
0, 521, total, 0
0, 522, total, 0
0, 523, total, 0
0, 524, total, 39
0, 525, total, 81
0, 526, total, 29
0, 527, total, 0
0, 528, total, 0
0, 529, total, 0
0, 530, total, 0
0, 531, total, 44
0, 532, total, 85
0, 533, total, 2
0, 534, total, 0
0, 535, total, 0
0, 536, total, 0
0, 537, total, 0
0, 538, total, 48
0, 539, total, 102
0, 540, total, 60
0, 541, total, 2
0, 542, total, 0
0, 543, total, 0
0, 544, total, 0
0, 545, total, 52
0, 546, total, 90
0, 547, total, 52
0, 548, total, 28
0, 549, total, 0
0, 550, total, 0
0, 551, total, 0
0, 552, total, 47
0, 553, total, 84
0, 554, total, 33
0, 555, total, 0
0, 556, total, 0
0, 557, total, 0
0, 558, total, 0
0, 559, total, 41
0, 560, total, 79
0, 561, total, 41
0, 562, total, 0
0, 563, total, 0
0, 564, total, 0
0, 565, total, 0
0, 566, total, 53
0, 567, total, 92
0, 568, total, 30
0, 569, total, 0
0, 570, total, 0
0, 571, total, 0
0, 572, total, 0
0, 573, total, 45
0, 574, total, 103
0, 575, total, 72
0, 576, total, 8
0, 577, total, 0
0, 578, total, 0
0, 579, total, 0
0, 580, total, 52
0, 581, total, 98
0, 582, total, 34
0, 583, total, 0
0, 584, total, 0
0, 585, total, 0
0, 586, total, 0
0, 587, total, 44
0, 588, total, 85
0, 589, total, 37
0, 590, total, 0
0, 591, total, 0
0, 592, total, 0
0, 593, total, 0
0, 594, total, 43
0, 595, total, 102
0, 596, total, 42
0, 597, total, 0
0, 598, total, 0
0, 599, total, 0
0, 600, total, 0
0, 601, total, 49
0, 602, total, 97
0, 603, total, 18
0, 604, total, 0
0, 605, total, 0
0, 606, total, 0
0, 607, total, 0
0, 608, total, 47
0, 609, total, 95
0, 610, total, 52
0, 611, total, 0
0, 612, total, 0
0, 613, total, 0
0, 614, total, 0
0, 615, total, 50
0, 616, total, 89
0, 617, total, 22
0, 618, total, 0
0, 619, total, 0
0, 620, total, 0
0, 621, total, 0
0, 622, total, 45
0, 623, total, 90
0, 624, total, 37
0, 625, total, 0
0, 626, total, 0
0, 627, total, 0
0, 628, total, 0
0, 629, total, 51
0, 630, total, 88
0, 631, total, 37
0, 632, total, 0
0, 633, total, 0
0, 634, total, 0
0, 635, total, 0
0, 636, total, 67
0, 637, total, 116
0, 638, total, 61
0, 639, total, 25
0, 640, total, 0
0, 641, total, 0
0, 642, total, 0
0, 643, total, 40
0, 644, total, 90
0, 645, total, 33
0, 646, total, 0
0, 647, total, 0
0, 648, total, 0
0, 649, total, 0
0, 650, total, 44
0, 651, total, 90
0, 652, total, 40
0, 653, total, 0
0, 654, total, 0
0, 655, total, 0
0, 656, total, 0
0, 657, total, 56
0, 658, total, 103
0, 659, total, 44
0, 660, total, 0
0, 661, total, 0
0, 662, total, 0
0, 663, total, 0
0, 664, total, 51
0, 665, total, 101
0, 666, total, 24
0, 667, total, 0
0, 668, total, 0
0, 669, total, 0
0, 670, total, 0
0, 671, total, 54
0, 672, total, 105
0, 673, total, 49
0, 674, total, 0
0, 675, total, 0
0, 676, total, 0
0, 677, total, 0
0, 678, total, 49
0, 679, total, 98
0, 680, total, 59
0, 681, total, 0
0, 682, total, 0
0, 683, total, 0
0, 684, total, 0
0, 685, total, 49
0, 686, total, 102
0, 687, total, 58
0, 688, total, 5
0, 689, total, 0
0, 690, total, 0
0, 691, total, 0
0, 692, total, 45
0, 693, total, 86
0, 694, total, 28
0, 695, total, 0
0, 696, total, 0
0, 697, total, 0
0, 698, total, 0
0, 699, total, 54
0, 700, total, 97
0, 701, total, 35
0, 702, total, 0
0, 703, total, 0
0, 704, total, 0
0, 705, total, 0
0, 706, total, 59
0, 707, total, 99
0, 708, total, 54
0, 709, total, 0
0, 710, total, 0
0, 711, total, 0
0, 712, total, 0
0, 713, total, 50
0, 714, total, 83
0, 715, total, 38
0, 716, total, 0
0, 717, total, 0
0, 718, total, 0
0, 719, total, 0
0, 720, total, 41
0, 721, total, 113
0, 722, total, 93
0, 723, total, 55
0, 724, total, 16
0, 725, total, 0
0, 726, total, 0
0, 727, total, 54
0, 728, total, 179
0, 729, total, 175
0, 730, total, 145
0, 731, total, 136
0, 732, total, 129
0, 733, total, 60
0, 734, total, 101
0, 735, total, 218
0, 736, total, 206
0, 737, total, 178
0, 738, total, 152
0, 739, total, 119
0, 740, total, 68
0, 741, total, 118
0, 742, total, 229
0, 743, total, 224
0, 744, total, 193
0, 745, total, 162
0, 746, total, 139
0, 747, total, 86
0, 748, total, 127
0, 749, total, 253
0, 750, total, 242
0, 751, total, 220
0, 752, total, 218
0, 753, total, 200
0, 754, total, 149
0, 755, total, 192
0, 756, total, 312
0, 757, total, 268
0, 758, total, 255
0, 759, total, 224
0, 760, total, 190
0, 761, total, 144
0, 762, total, 190
0, 763, total, 325
0, 764, total, 322
0, 765, total, 289
0, 766, total, 263
0, 767, total, 244
0, 768, total, 190
0, 769, total, 251
0, 770, total, 405
0, 771, total, 389
0, 772, total, 369
0, 773, total, 330
0, 774, total, 322
0, 775, total, 260
0, 776, total, 308
0, 777, total, 425
0, 778, total, 419
0, 779, total, 388
0, 780, total, 377
0, 781, total, 375
0, 782, total, 327
0, 783, total, 365
0, 784, total, 483
0, 785, total, 446
0, 786, total, 422
0, 787, total, 414
0, 788, total, 386
0, 789, total, 316
0, 790, total, 360
0, 791, total, 491
0, 792, total, 477
0, 793, total, 463
0, 794, total, 444
0, 795, total, 422
0, 796, total, 357
0, 797, total, 403
0, 798, total, 530
0, 799, total, 557
0, 800, total, 535
0, 801, total, 500
0, 802, total, 494
0, 803, total, 433
0, 804, total, 485
0, 805, total, 596
0, 806, total, 594
0, 807, total, 569
0, 808, total, 535
0, 809, total, 525
0, 810, total, 465
0, 811, total, 514
0, 812, total, 628
0, 813, total, 607
0, 814, total, 571
0, 815, total, 548
0, 816, total, 537
0, 817, total, 491
0, 818, total, 548
0, 819, total, 687
0, 820, total, 647
0, 821, total, 633
0, 822, total, 600
0, 823, total, 584
0, 824, total, 537
0, 825, total, 572
0, 826, total, 688
0, 827, total, 667
0, 828, total, 644
0, 829, total, 657
0, 830, total, 627
0, 831, total, 565
0, 832, total, 628
0, 833, total, 743
0, 834, total, 734
0, 835, total, 714
0, 836, total, 688
0, 837, total, 680
0, 838, total, 627
0, 839, total, 681
0, 840, total, 802
0, 841, total, 774
0, 842, total, 755
0, 843, total, 739
0, 844, total, 713
0, 845, total, 646
0, 846, total, 696
0, 847, total, 807
0, 848, total, 803
0, 849, total, 777
0, 850, total, 742
0, 851, total, 734
0, 852, total, 670
0, 853, total, 723
0, 854, total, 851
0, 855, total, 863
0, 856, total, 827
0, 857, total, 802
0, 858, total, 758
0, 859, total, 706
0, 860, total, 752
0, 861, total, 878
0, 862, total, 871
0, 863, total, 851
0, 864, total, 828
0, 865, total, 795
0, 866, total, 712
0, 867, total, 756
0, 868, total, 877
0, 869, total, 914
0, 870, total, 893
0, 871, total, 854
0, 872, total, 816
0, 873, total, 753
0, 874, total, 799
0, 875, total, 924
0, 876, total, 918
0, 877, total, 891
0, 878, total, 879
0, 879, total, 860
0, 880, total, 788
0, 881, total, 842
0, 882, total, 958
0, 883, total, 959
0, 884, total, 935
0, 885, total, 933
0, 886, total, 887
0, 887, total, 845
0, 888, total, 901
0, 889, total, 1039
0, 890, total, 1009
0, 891, total, 998
0, 892, total, 986
0, 893, total, 945
0, 894, total, 882
0, 895, total, 919
0, 896, total, 1064
0, 897, total, 1009
0, 898, total, 958
0, 899, total, 932
0, 900, total, 881
0, 901, total, 822
0, 902, total, 865
0, 903, total, 993
0, 904, total, 1015
0, 905, total, 1009
0, 906, total, 988
0, 907, total, 957
0, 908, total, 892
0, 909, total, 949
0, 910, total, 1077
0, 911, total, 1077
0, 912, total, 1036
0, 913, total, 1032
