Replication, Day, Queued To, Queue Amount
0, 0, total, 0
0, 1, total, 0
0, 2, total, 0
0, 3, total, 0
0, 4, total, 0
0, 5, total, 0
0, 6, total, 56
0, 7, total, 108
0, 8, total, 63
0, 9, total, 17
0, 10, total, 0
0, 11, total, 0
0, 12, total, 0
0, 13, total, 67
0, 14, total, 120
0, 15, total, 77
0, 16, total, 33
0, 17, total, 0
0, 18, total, 0
0, 19, total, 0
0, 20, total, 48
0, 21, total, 102
0, 22, total, 65
0, 23, total, 2
0, 24, total, 0
0, 25, total, 0
0, 26, total, 0
0, 27, total, 55
0, 28, total, 97
0, 29, total, 24
0, 30, total, 0
0, 31, total, 0
0, 32, total, 0
0, 33, total, 0
0, 34, total, 59
0, 35, total, 123
0, 36, total, 94
0, 37, total, 26
0, 38, total, 0
0, 39, total, 0
0, 40, total, 0
0, 41, total, 49
0, 42, total, 112
0, 43, total, 73
0, 44, total, 12
0, 45, total, 0
0, 46, total, 0
0, 47, total, 0
0, 48, total, 55
0, 49, total, 118
0, 50, total, 69
0, 51, total, 22
0, 52, total, 0
0, 53, total, 0
0, 54, total, 0
0, 55, total, 48
0, 56, total, 93
0, 57, total, 14
0, 58, total, 0
0, 59, total, 0
0, 60, total, 0
0, 61, total, 0
0, 62, total, 53
0, 63, total, 113
0, 64, total, 76
0, 65, total, 38
0, 66, total, 0
0, 67, total, 0
0, 68, total, 0
0, 69, total, 43
0, 70, total, 91
0, 71, total, 39
0, 72, total, 1
0, 73, total, 0
0, 74, total, 0
0, 75, total, 0
0, 76, total, 50
0, 77, total, 102
0, 78, total, 33
0, 79, total, 0
0, 80, total, 0
0, 81, total, 0
0, 82, total, 0
0, 83, total, 45
0, 84, total, 98
0, 85, total, 36
0, 86, total, 6
0, 87, total, 0
0, 88, total, 0
0, 89, total, 0
0, 90, total, 66
0, 91, total, 107
0, 92, total, 73
0, 93, total, 39
0, 94, total, 0
0, 95, total, 0
0, 96, total, 0
0, 97, total, 42
0, 98, total, 99
0, 99, total, 57
0, 100, total, 24
0, 101, total, 0
0, 102, total, 0
0, 103, total, 0
0, 104, total, 46
0, 105, total, 87
0, 106, total, 17
0, 107, total, 0
0, 108, total, 0
0, 109, total, 0
0, 110, total, 0
0, 111, total, 45
0, 112, total, 87
0, 113, total, 29
0, 114, total, 0
0, 115, total, 0
0, 116, total, 0
0, 117, total, 0
0, 118, total, 48
0, 119, total, 98
0, 120, total, 63
0, 121, total, 17
0, 122, total, 0
0, 123, total, 0
0, 124, total, 0
0, 125, total, 49
0, 126, total, 104
0, 127, total, 47
0, 128, total, 0
0, 129, total, 0
0, 130, total, 0
0, 131, total, 0
0, 132, total, 46
0, 133, total, 88
0, 134, total, 24
0, 135, total, 0
0, 136, total, 0
0, 137, total, 0
0, 138, total, 0
0, 139, total, 47
0, 140, total, 106
0, 141, total, 53
0, 142, total, 3
0, 143, total, 0
0, 144, total, 0
0, 145, total, 0
0, 146, total, 53
0, 147, total, 102
0, 148, total, 60
0, 149, total, 21
0, 150, total, 0
0, 151, total, 0
0, 152, total, 0
0, 153, total, 57
0, 154, total, 114
0, 155, total, 78
0, 156, total, 27
0, 157, total, 0
0, 158, total, 0
0, 159, total, 0
0, 160, total, 48
0, 161, total, 90
0, 162, total, 26
0, 163, total, 0
0, 164, total, 0
0, 165, total, 0
0, 166, total, 0
0, 167, total, 39
0, 168, total, 90
0, 169, total, 26
0, 170, total, 0
0, 171, total, 0
0, 172, total, 0
0, 173, total, 0
0, 174, total, 53
0, 175, total, 106
0, 176, total, 55
0, 177, total, 1
0, 178, total, 0
0, 179, total, 0
0, 180, total, 0
0, 181, total, 54
0, 182, total, 101
0, 183, total, 56
0, 184, total, 8
0, 185, total, 0
0, 186, total, 0
0, 187, total, 0
0, 188, total, 61
0, 189, total, 114
0, 190, total, 89
0, 191, total, 52
0, 192, total, 0
0, 193, total, 0
0, 194, total, 0
0, 195, total, 59
0, 196, total, 120
0, 197, total, 77
0, 198, total, 48
0, 199, total, 0
0, 200, total, 0
0, 201, total, 0
0, 202, total, 45
0, 203, total, 101
0, 204, total, 60
0, 205, total, 13
0, 206, total, 0
0, 207, total, 0
0, 208, total, 0
0, 209, total, 66
0, 210, total, 124
0, 211, total, 78
0, 212, total, 16
0, 213, total, 0
0, 214, total, 0
0, 215, total, 0
0, 216, total, 52
0, 217, total, 128
0, 218, total, 84
0, 219, total, 21
0, 220, total, 0
0, 221, total, 0
0, 222, total, 0
0, 223, total, 58
0, 224, total, 103
0, 225, total, 80
0, 226, total, 39
0, 227, total, 0
0, 228, total, 0
0, 229, total, 0
0, 230, total, 54
0, 231, total, 120
0, 232, total, 77
0, 233, total, 31
0, 234, total, 0
0, 235, total, 0
0, 236, total, 0
0, 237, total, 68
0, 238, total, 127
0, 239, total, 86
0, 240, total, 27
0, 241, total, 0
0, 242, total, 0
0, 243, total, 0
0, 244, total, 65
0, 245, total, 130
0, 246, total, 78
0, 247, total, 43
0, 248, total, 0
0, 249, total, 0
0, 250, total, 0
0, 251, total, 62
0, 252, total, 106
0, 253, total, 69
0, 254, total, 32
0, 255, total, 0
0, 256, total, 0
0, 257, total, 0
0, 258, total, 54
0, 259, total, 122
0, 260, total, 55
0, 261, total, 16
0, 262, total, 0
0, 263, total, 0
0, 264, total, 0
0, 265, total, 66
0, 266, total, 129
0, 267, total, 79
0, 268, total, 44
0, 269, total, 0
0, 270, total, 0
0, 271, total, 0
0, 272, total, 64
0, 273, total, 129
0, 274, total, 100
0, 275, total, 38
0, 276, total, 0
0, 277, total, 0
0, 278, total, 0
0, 279, total, 64
0, 280, total, 112
0, 281, total, 76
0, 282, total, 34
0, 283, total, 0
0, 284, total, 0
0, 285, total, 0
0, 286, total, 77
0, 287, total, 134
0, 288, total, 93
0, 289, total, 51
0, 290, total, 5
0, 291, total, 0
0, 292, total, 0
0, 293, total, 69
0, 294, total, 109
0, 295, total, 59
0, 296, total, 2
0, 297, total, 0
0, 298, total, 0
0, 299, total, 0
0, 300, total, 49
0, 301, total, 117
0, 302, total, 64
0, 303, total, 27
0, 304, total, 0
0, 305, total, 0
0, 306, total, 0
0, 307, total, 43
0, 308, total, 94
0, 309, total, 40
0, 310, total, 5
0, 311, total, 0
0, 312, total, 0
0, 313, total, 0
0, 314, total, 39
0, 315, total, 98
0, 316, total, 71
0, 317, total, 41
0, 318, total, 0
0, 319, total, 0
0, 320, total, 0
0, 321, total, 72
0, 322, total, 132
0, 323, total, 86
0, 324, total, 42
0, 325, total, 0
0, 326, total, 0
0, 327, total, 0
0, 328, total, 58
0, 329, total, 109
0, 330, total, 74
0, 331, total, 46
0, 332, total, 3
0, 333, total, 0
0, 334, total, 0
0, 335, total, 54
0, 336, total, 113
0, 337, total, 74
0, 338, total, 26
0, 339, total, 0
0, 340, total, 0
0, 341, total, 0
0, 342, total, 62
0, 343, total, 109
0, 344, total, 77
0, 345, total, 37
0, 346, total, 0
0, 347, total, 0
0, 348, total, 0
0, 349, total, 51
0, 350, total, 107
0, 351, total, 79
0, 352, total, 55
0, 353, total, 14
0, 354, total, 0
0, 355, total, 0
0, 356, total, 69
0, 357, total, 138
0, 358, total, 101
0, 359, total, 49
0, 360, total, 35
0, 361, total, 11
0, 362, total, 0
0, 363, total, 68
0, 364, total, 131
0, 365, total, 101
0, 366, total, 58
0, 367, total, 20
0, 368, total, 0
0, 369, total, 0
0, 370, total, 61
0, 371, total, 129
0, 372, total, 79
0, 373, total, 37
0, 374, total, 4
0, 375, total, 0
0, 376, total, 0
0, 377, total, 48
0, 378, total, 115
0, 379, total, 70
0, 380, total, 32
0, 381, total, 0
0, 382, total, 0
0, 383, total, 0
0, 384, total, 59
0, 385, total, 128
0, 386, total, 96
0, 387, total, 66
0, 388, total, 28
0, 389, total, 0
0, 390, total, 0
0, 391, total, 64
0, 392, total, 141
0, 393, total, 79
0, 394, total, 10
0, 395, total, 0
0, 396, total, 0
0, 397, total, 0
0, 398, total, 67
0, 399, total, 129
0, 400, total, 97
0, 401, total, 45
0, 402, total, 7
0, 403, total, 0
0, 404, total, 0
0, 405, total, 72
0, 406, total, 130
0, 407, total, 89
0, 408, total, 55
0, 409, total, 0
0, 410, total, 0
0, 411, total, 0
0, 412, total, 59
0, 413, total, 108
0, 414, total, 67
0, 415, total, 45
0, 416, total, 0
0, 417, total, 0
0, 418, total, 0
0, 419, total, 47
0, 420, total, 100
0, 421, total, 77
0, 422, total, 31
0, 423, total, 0
0, 424, total, 0
0, 425, total, 0
0, 426, total, 75
0, 427, total, 129
0, 428, total, 77
0, 429, total, 27
0, 430, total, 2
0, 431, total, 0
0, 432, total, 0
0, 433, total, 56
0, 434, total, 123
0, 435, total, 79
0, 436, total, 13
0, 437, total, 0
0, 438, total, 0
0, 439, total, 0
0, 440, total, 58
0, 441, total, 119
0, 442, total, 96
0, 443, total, 59
0, 444, total, 20
0, 445, total, 0
0, 446, total, 0
0, 447, total, 44
0, 448, total, 106
0, 449, total, 69
0, 450, total, 38
0, 451, total, 0
0, 452, total, 0
0, 453, total, 0
0, 454, total, 67
0, 455, total, 121
0, 456, total, 88
0, 457, total, 55
0, 458, total, 22
0, 459, total, 0
0, 460, total, 0
0, 461, total, 68
0, 462, total, 127
0, 463, total, 70
0, 464, total, 36
0, 465, total, 0
0, 466, total, 0
0, 467, total, 0
0, 468, total, 65
0, 469, total, 126
0, 470, total, 81
0, 471, total, 58
0, 472, total, 26
0, 473, total, 0
0, 474, total, 0
0, 475, total, 71
0, 476, total, 127
0, 477, total, 65
0, 478, total, 0
0, 479, total, 0
0, 480, total, 0
0, 481, total, 0
0, 482, total, 61
0, 483, total, 115
0, 484, total, 74
0, 485, total, 33
0, 486, total, 1
0, 487, total, 0
0, 488, total, 0
0, 489, total, 54
0, 490, total, 112
0, 491, total, 67
0, 492, total, 11
0, 493, total, 0
0, 494, total, 0
0, 495, total, 0
0, 496, total, 50
0, 497, total, 83
0, 498, total, 56
0, 499, total, 0
0, 500, total, 0
0, 501, total, 0
0, 502, total, 0
0, 503, total, 55
0, 504, total, 110
0, 505, total, 65
0, 506, total, 18
0, 507, total, 0
0, 508, total, 0
0, 509, total, 0
0, 510, total, 53
0, 511, total, 106
0, 512, total, 82
0, 513, total, 24
0, 514, total, 0
0, 515, total, 0
0, 516, total, 0
0, 517, total, 64
0, 518, total, 127
0, 519, total, 78
0, 520, total, 25
0, 521, total, 0
0, 522, total, 0
0, 523, total, 0
0, 524, total, 50
0, 525, total, 119
0, 526, total, 73
0, 527, total, 25
0, 528, total, 0
0, 529, total, 0
0, 530, total, 0
0, 531, total, 80
0, 532, total, 150
0, 533, total, 114
0, 534, total, 74
0, 535, total, 29
0, 536, total, 0
0, 537, total, 0
0, 538, total, 47
0, 539, total, 113
0, 540, total, 67
0, 541, total, 29
0, 542, total, 0
0, 543, total, 0
0, 544, total, 0
0, 545, total, 56
0, 546, total, 124
0, 547, total, 73
0, 548, total, 23
0, 549, total, 0
0, 550, total, 0
0, 551, total, 0
0, 552, total, 67
0, 553, total, 127
0, 554, total, 82
0, 555, total, 36
0, 556, total, 0
0, 557, total, 0
0, 558, total, 0
0, 559, total, 76
0, 560, total, 133
0, 561, total, 89
0, 562, total, 40
0, 563, total, 6
0, 564, total, 0
0, 565, total, 0
0, 566, total, 54
0, 567, total, 105
0, 568, total, 50
0, 569, total, 12
0, 570, total, 0
0, 571, total, 0
0, 572, total, 0
0, 573, total, 58
0, 574, total, 117
0, 575, total, 66
0, 576, total, 20
0, 577, total, 0
0, 578, total, 0
0, 579, total, 0
0, 580, total, 48
0, 581, total, 97
0, 582, total, 51
0, 583, total, 15
0, 584, total, 0
0, 585, total, 0
0, 586, total, 0
0, 587, total, 62
0, 588, total, 136
0, 589, total, 84
0, 590, total, 18
0, 591, total, 0
0, 592, total, 0
0, 593, total, 0
0, 594, total, 54
0, 595, total, 103
0, 596, total, 48
0, 597, total, 0
0, 598, total, 0
0, 599, total, 0
0, 600, total, 0
0, 601, total, 53
0, 602, total, 99
0, 603, total, 62
0, 604, total, 19
0, 605, total, 0
0, 606, total, 0
0, 607, total, 0
0, 608, total, 63
0, 609, total, 111
0, 610, total, 78
0, 611, total, 46
0, 612, total, 0
0, 613, total, 0
0, 614, total, 0
0, 615, total, 60
0, 616, total, 130
0, 617, total, 93
0, 618, total, 45
0, 619, total, 0
0, 620, total, 0
0, 621, total, 0
0, 622, total, 45
0, 623, total, 108
0, 624, total, 74
0, 625, total, 39
0, 626, total, 1
0, 627, total, 0
0, 628, total, 0
0, 629, total, 67
0, 630, total, 114
0, 631, total, 78
0, 632, total, 49
0, 633, total, 0
0, 634, total, 0
0, 635, total, 0
0, 636, total, 59
0, 637, total, 120
0, 638, total, 86
0, 639, total, 21
0, 640, total, 0
0, 641, total, 0
0, 642, total, 0
0, 643, total, 52
0, 644, total, 100
0, 645, total, 68
0, 646, total, 12
0, 647, total, 0
0, 648, total, 0
0, 649, total, 0
0, 650, total, 67
0, 651, total, 142
0, 652, total, 61
0, 653, total, 20
0, 654, total, 0
0, 655, total, 0
0, 656, total, 0
0, 657, total, 54
0, 658, total, 118
0, 659, total, 67
0, 660, total, 30
0, 661, total, 0
0, 662, total, 0
0, 663, total, 0
0, 664, total, 57
0, 665, total, 114
0, 666, total, 81
0, 667, total, 39
0, 668, total, 0
0, 669, total, 0
0, 670, total, 0
0, 671, total, 63
0, 672, total, 124
0, 673, total, 78
0, 674, total, 51
0, 675, total, 4
0, 676, total, 0
0, 677, total, 0
0, 678, total, 71
0, 679, total, 136
0, 680, total, 93
0, 681, total, 71
0, 682, total, 22
0, 683, total, 0
0, 684, total, 0
0, 685, total, 67
0, 686, total, 116
0, 687, total, 72
0, 688, total, 12
0, 689, total, 0
0, 690, total, 0
0, 691, total, 0
0, 692, total, 64
0, 693, total, 122
0, 694, total, 74
0, 695, total, 0
0, 696, total, 0
0, 697, total, 0
0, 698, total, 0
0, 699, total, 61
0, 700, total, 121
0, 701, total, 99
0, 702, total, 71
0, 703, total, 24
0, 704, total, 0
0, 705, total, 0
0, 706, total, 66
0, 707, total, 116
0, 708, total, 75
0, 709, total, 35
0, 710, total, 0
0, 711, total, 0
0, 712, total, 0
0, 713, total, 65
0, 714, total, 127
0, 715, total, 91
0, 716, total, 42
0, 717, total, 5
0, 718, total, 0
0, 719, total, 0
0, 720, total, 60
0, 721, total, 169
0, 722, total, 136
0, 723, total, 103
0, 724, total, 103
0, 725, total, 104
0, 726, total, 39
0, 727, total, 95
0, 728, total, 229
0, 729, total, 258
0, 730, total, 267
0, 731, total, 262
0, 732, total, 277
0, 733, total, 233
0, 734, total, 296
0, 735, total, 415
0, 736, total, 441
0, 737, total, 483
0, 738, total, 438
0, 739, total, 422
0, 740, total, 363
0, 741, total, 426
0, 742, total, 553
0, 743, total, 613
0, 744, total, 622
0, 745, total, 597
0, 746, total, 578
0, 747, total, 543
0, 748, total, 601
0, 749, total, 738
0, 750, total, 750
0, 751, total, 774
0, 752, total, 784
0, 753, total, 789
0, 754, total, 748
0, 755, total, 806
0, 756, total, 925
0, 757, total, 971
0, 758, total, 991
0, 759, total, 994
0, 760, total, 998
0, 761, total, 966
0, 762, total, 1031
0, 763, total, 1162
0, 764, total, 1170
0, 765, total, 1177
0, 766, total, 1201
0, 767, total, 1183
0, 768, total, 1120
0, 769, total, 1173
0, 770, total, 1292
0, 771, total, 1319
0, 772, total, 1335
0, 773, total, 1315
0, 774, total, 1305
0, 775, total, 1250
0, 776, total, 1312
0, 777, total, 1449
0, 778, total, 1446
0, 779, total, 1422
0, 780, total, 1418
0, 781, total, 1413
0, 782, total, 1352
0, 783, total, 1419
0, 784, total, 1553
0, 785, total, 1584
0, 786, total, 1613
0, 787, total, 1624
0, 788, total, 1608
0, 789, total, 1557
0, 790, total, 1616
0, 791, total, 1765
0, 792, total, 1800
0, 793, total, 1812
0, 794, total, 1827
0, 795, total, 1795
0, 796, total, 1764
0, 797, total, 1833
0, 798, total, 1985
0, 799, total, 2035
0, 800, total, 2044
0, 801, total, 2037
0, 802, total, 2013
0, 803, total, 1976
0, 804, total, 2042
0, 805, total, 2178
0, 806, total, 2210
0, 807, total, 2217
0, 808, total, 2196
0, 809, total, 2181
0, 810, total, 2144
0, 811, total, 2189
0, 812, total, 2302
0, 813, total, 2350
0, 814, total, 2365
0, 815, total, 2351
0, 816, total, 2341
0, 817, total, 2293
0, 818, total, 2338
0, 819, total, 2470
0, 820, total, 2493
0, 821, total, 2505
0, 822, total, 2507
0, 823, total, 2480
0, 824, total, 2420
0, 825, total, 2467
0, 826, total, 2615
0, 827, total, 2618
0, 828, total, 2609
0, 829, total, 2611
0, 830, total, 2594
0, 831, total, 2532
0, 832, total, 2597
0, 833, total, 2729
0, 834, total, 2775
0, 835, total, 2742
0, 836, total, 2773
0, 837, total, 2726
0, 838, total, 2685
0, 839, total, 2753
0, 840, total, 2883
0, 841, total, 2906
0, 842, total, 2908
0, 843, total, 2909
0, 844, total, 2911
0, 845, total, 2856
0, 846, total, 2932
0, 847, total, 3080
0, 848, total, 3109
0, 849, total, 3094
0, 850, total, 3092
0, 851, total, 3058
0, 852, total, 3011
0, 853, total, 3061
0, 854, total, 3190
0, 855, total, 3202
0, 856, total, 3187
0, 857, total, 3177
0, 858, total, 3162
0, 859, total, 3108
0, 860, total, 3172
0, 861, total, 3327
0, 862, total, 3360
0, 863, total, 3355
0, 864, total, 3362
0, 865, total, 3353
0, 866, total, 3317
0, 867, total, 3376
0, 868, total, 3519
0, 869, total, 3550
0, 870, total, 3553
0, 871, total, 3531
0, 872, total, 3523
0, 873, total, 3483
0, 874, total, 3546
0, 875, total, 3689
0, 876, total, 3723
0, 877, total, 3742
0, 878, total, 3759
0, 879, total, 3779
0, 880, total, 3726
0, 881, total, 3781
0, 882, total, 3933
0, 883, total, 3944
0, 884, total, 3954
0, 885, total, 3935
0, 886, total, 3902
0, 887, total, 3841
0, 888, total, 3895
0, 889, total, 4033
0, 890, total, 4048
0, 891, total, 4051
0, 892, total, 4060
0, 893, total, 4042
0, 894, total, 3986
0, 895, total, 4044
0, 896, total, 4191
0, 897, total, 4240
0, 898, total, 4232
0, 899, total, 4229
0, 900, total, 4235
