Replication, Day, Queued To, Queue Amount
0, 0, total, 0
0, 1, total, 0
0, 2, total, 0
0, 3, total, 0
0, 4, total, 0
0, 5, total, 0
0, 6, total, 36
0, 7, total, 76
0, 8, total, 23
0, 9, total, 0
0, 10, total, 0
0, 11, total, 0
0, 12, total, 0
0, 13, total, 35
0, 14, total, 71
0, 15, total, 11
0, 16, total, 0
0, 17, total, 0
0, 18, total, 0
0, 19, total, 0
0, 20, total, 35
0, 21, total, 64
0, 22, total, 5
0, 23, total, 0
0, 24, total, 0
0, 25, total, 0
0, 26, total, 0
0, 27, total, 39
0, 28, total, 81
0, 29, total, 17
0, 30, total, 0
0, 31, total, 0
0, 32, total, 0
0, 33, total, 0
0, 34, total, 45
0, 35, total, 87
0, 36, total, 24
0, 37, total, 0
0, 38, total, 0
0, 39, total, 0
0, 40, total, 0
0, 41, total, 41
0, 42, total, 87
0, 43, total, 17
0, 44, total, 0
0, 45, total, 0
0, 46, total, 0
0, 47, total, 0
0, 48, total, 51
0, 49, total, 89
0, 50, total, 5
0, 51, total, 0
0, 52, total, 0
0, 53, total, 0
0, 54, total, 0
0, 55, total, 43
0, 56, total, 92
0, 57, total, 43
0, 58, total, 0
0, 59, total, 0
0, 60, total, 0
0, 61, total, 0
0, 62, total, 38
0, 63, total, 79
0, 64, total, 21
0, 65, total, 0
0, 66, total, 0
0, 67, total, 0
0, 68, total, 0
0, 69, total, 34
0, 70, total, 68
0, 71, total, 14
0, 72, total, 0
0, 73, total, 0
0, 74, total, 0
0, 75, total, 0
0, 76, total, 44
0, 77, total, 95
0, 78, total, 44
0, 79, total, 0
0, 80, total, 0
0, 81, total, 0
0, 82, total, 0
0, 83, total, 42
0, 84, total, 77
0, 85, total, 30
0, 86, total, 0
0, 87, total, 0
0, 88, total, 0
0, 89, total, 0
0, 90, total, 35
0, 91, total, 84
0, 92, total, 31
0, 93, total, 0
0, 94, total, 0
0, 95, total, 0
0, 96, total, 0
0, 97, total, 39
0, 98, total, 86
0, 99, total, 21
0, 100, total, 0
0, 101, total, 0
0, 102, total, 0
0, 103, total, 0
0, 104, total, 38
0, 105, total, 80
0, 106, total, 11
0, 107, total, 0
0, 108, total, 0
0, 109, total, 0
0, 110, total, 0
0, 111, total, 40
0, 112, total, 96
0, 113, total, 61
0, 114, total, 27
0, 115, total, 0
0, 116, total, 0
0, 117, total, 0
0, 118, total, 37
0, 119, total, 80
0, 120, total, 17
0, 121, total, 0
0, 122, total, 0
0, 123, total, 0
0, 124, total, 0
0, 125, total, 39
0, 126, total, 90
0, 127, total, 54
0, 128, total, 11
0, 129, total, 0
0, 130, total, 0
0, 131, total, 0
0, 132, total, 38
0, 133, total, 86
0, 134, total, 46
0, 135, total, 0
0, 136, total, 0
0, 137, total, 0
0, 138, total, 0
0, 139, total, 38
0, 140, total, 91
0, 141, total, 33
0, 142, total, 0
0, 143, total, 0
0, 144, total, 0
0, 145, total, 0
0, 146, total, 30
0, 147, total, 83
0, 148, total, 54
0, 149, total, 11
0, 150, total, 0
0, 151, total, 0
0, 152, total, 0
0, 153, total, 43
0, 154, total, 92
0, 155, total, 22
0, 156, total, 0
0, 157, total, 0
0, 158, total, 0
0, 159, total, 0
0, 160, total, 46
0, 161, total, 102
0, 162, total, 34
0, 163, total, 0
0, 164, total, 0
0, 165, total, 0
0, 166, total, 0
0, 167, total, 45
0, 168, total, 89
0, 169, total, 38
0, 170, total, 0
0, 171, total, 0
0, 172, total, 0
0, 173, total, 0
0, 174, total, 39
0, 175, total, 84
0, 176, total, 32
0, 177, total, 0
0, 178, total, 0
0, 179, total, 0
0, 180, total, 0
0, 181, total, 30
0, 182, total, 77
0, 183, total, 0
0, 184, total, 0
0, 185, total, 0
0, 186, total, 0
0, 187, total, 0
0, 188, total, 29
0, 189, total, 80
0, 190, total, 15
0, 191, total, 0
0, 192, total, 0
0, 193, total, 0
0, 194, total, 0
0, 195, total, 45
0, 196, total, 80
0, 197, total, 8
0, 198, total, 0
0, 199, total, 0
0, 200, total, 0
0, 201, total, 0
0, 202, total, 49
0, 203, total, 100
0, 204, total, 45
0, 205, total, 5
0, 206, total, 0
0, 207, total, 0
0, 208, total, 0
0, 209, total, 28
0, 210, total, 91
0, 211, total, 33
0, 212, total, 0
0, 213, total, 0
0, 214, total, 0
0, 215, total, 0
0, 216, total, 43
0, 217, total, 100
0, 218, total, 47
0, 219, total, 0
0, 220, total, 0
0, 221, total, 0
0, 222, total, 0
0, 223, total, 48
0, 224, total, 100
0, 225, total, 47
0, 226, total, 3
0, 227, total, 0
0, 228, total, 0
0, 229, total, 0
0, 230, total, 36
0, 231, total, 82
0, 232, total, 18
0, 233, total, 0
0, 234, total, 0
0, 235, total, 0
0, 236, total, 0
0, 237, total, 34
0, 238, total, 85
0, 239, total, 26
0, 240, total, 0
0, 241, total, 0
0, 242, total, 0
0, 243, total, 0
0, 244, total, 40
0, 245, total, 91
0, 246, total, 28
0, 247, total, 0
0, 248, total, 0
0, 249, total, 0
0, 250, total, 0
0, 251, total, 43
0, 252, total, 94
0, 253, total, 45
0, 254, total, 0
0, 255, total, 0
0, 256, total, 0
0, 257, total, 0
0, 258, total, 46
0, 259, total, 87
0, 260, total, 23
0, 261, total, 0
0, 262, total, 0
0, 263, total, 0
0, 264, total, 0
0, 265, total, 44
0, 266, total, 96
0, 267, total, 40
0, 268, total, 0
0, 269, total, 0
0, 270, total, 0
0, 271, total, 0
0, 272, total, 37
0, 273, total, 87
0, 274, total, 9
0, 275, total, 0
0, 276, total, 0
0, 277, total, 0
0, 278, total, 0
0, 279, total, 43
0, 280, total, 89
0, 281, total, 37
0, 282, total, 0
0, 283, total, 0
0, 284, total, 0
0, 285, total, 0
0, 286, total, 45
0, 287, total, 104
0, 288, total, 42
0, 289, total, 0
0, 290, total, 0
0, 291, total, 0
0, 292, total, 0
0, 293, total, 33
0, 294, total, 92
0, 295, total, 52
0, 296, total, 0
0, 297, total, 0
0, 298, total, 0
0, 299, total, 0
0, 300, total, 32
0, 301, total, 77
0, 302, total, 8
0, 303, total, 0
0, 304, total, 0
0, 305, total, 0
0, 306, total, 0
0, 307, total, 37
0, 308, total, 84
0, 309, total, 39
0, 310, total, 4
0, 311, total, 0
0, 312, total, 0
0, 313, total, 0
0, 314, total, 37
0, 315, total, 80
0, 316, total, 15
0, 317, total, 0
0, 318, total, 0
0, 319, total, 0
0, 320, total, 0
0, 321, total, 43
0, 322, total, 96
0, 323, total, 28
0, 324, total, 0
0, 325, total, 0
0, 326, total, 0
0, 327, total, 0
0, 328, total, 41
0, 329, total, 86
0, 330, total, 23
0, 331, total, 0
0, 332, total, 0
0, 333, total, 0
0, 334, total, 0
0, 335, total, 33
0, 336, total, 92
0, 337, total, 34
0, 338, total, 0
0, 339, total, 0
0, 340, total, 0
0, 341, total, 0
0, 342, total, 38
0, 343, total, 81
0, 344, total, 46
0, 345, total, 0
0, 346, total, 0
0, 347, total, 0
0, 348, total, 0
0, 349, total, 49
0, 350, total, 112
0, 351, total, 55
0, 352, total, 1
0, 353, total, 0
0, 354, total, 0
0, 355, total, 0
0, 356, total, 36
0, 357, total, 84
0, 358, total, 39
0, 359, total, 0
0, 360, total, 0
0, 361, total, 0
0, 362, total, 0
0, 363, total, 66
0, 364, total, 146
0, 365, total, 112
0, 366, total, 67
0, 367, total, 13
0, 368, total, 23
0, 369, total, 1
0, 370, total, 64
0, 371, total, 139
0, 372, total, 128
0, 373, total, 68
0, 374, total, 28
0, 375, total, 63
0, 376, total, 49
0, 377, total, 138
0, 378, total, 217
0, 379, total, 209
0, 380, total, 151
0, 381, total, 108
0, 382, total, 132
0, 383, total, 107
0, 384, total, 172
0, 385, total, 259
0, 386, total, 253
0, 387, total, 214
0, 388, total, 183
0, 389, total, 227
0, 390, total, 203
0, 391, total, 275
0, 392, total, 361
0, 393, total, 345
0, 394, total, 285
0, 395, total, 224
0, 396, total, 233
0, 397, total, 217
0, 398, total, 285
0, 399, total, 362
0, 400, total, 337
0, 401, total, 255
0, 402, total, 202
0, 403, total, 224
0, 404, total, 222
0, 405, total, 299
0, 406, total, 379
0, 407, total, 361
0, 408, total, 307
0, 409, total, 247
0, 410, total, 308
0, 411, total, 284
0, 412, total, 364
0, 413, total, 447
0, 414, total, 430
0, 415, total, 382
0, 416, total, 331
0, 417, total, 337
0, 418, total, 329
0, 419, total, 387
0, 420, total, 473
0, 421, total, 470
0, 422, total, 406
0, 423, total, 349
0, 424, total, 362
0, 425, total, 348
0, 426, total, 426
0, 427, total, 510
0, 428, total, 470
0, 429, total, 420
0, 430, total, 352
0, 431, total, 364
0, 432, total, 347
0, 433, total, 421
0, 434, total, 494
0, 435, total, 466
0, 436, total, 422
0, 437, total, 376
0, 438, total, 413
0, 439, total, 426
0, 440, total, 495
0, 441, total, 588
0, 442, total, 578
0, 443, total, 515
0, 444, total, 477
0, 445, total, 499
0, 446, total, 506
0, 447, total, 573
0, 448, total, 649
0, 449, total, 625
0, 450, total, 557
0, 451, total, 495
0, 452, total, 516
0, 453, total, 550
0, 454, total, 625
0, 455, total, 711
0, 456, total, 706
0, 457, total, 662
0, 458, total, 604
0, 459, total, 642
0, 460, total, 628
0, 461, total, 691
0, 462, total, 758
0, 463, total, 736
0, 464, total, 676
0, 465, total, 634
0, 466, total, 642
0, 467, total, 640
0, 468, total, 717
0, 469, total, 783
0, 470, total, 768
0, 471, total, 738
0, 472, total, 691
0, 473, total, 707
0, 474, total, 687
0, 475, total, 785
0, 476, total, 857
0, 477, total, 837
0, 478, total, 786
0, 479, total, 729
0, 480, total, 765
0, 481, total, 738
0, 482, total, 812
0, 483, total, 882
0, 484, total, 867
0, 485, total, 829
0, 486, total, 789
0, 487, total, 796
0, 488, total, 803
0, 489, total, 895
0, 490, total, 993
0, 491, total, 973
0, 492, total, 935
0, 493, total, 884
0, 494, total, 924
0, 495, total, 913
0, 496, total, 997
0, 497, total, 1087
0, 498, total, 1058
0, 499, total, 1013
0, 500, total, 975
0, 501, total, 1027
0, 502, total, 1035
0, 503, total, 1115
0, 504, total, 1199
0, 505, total, 1206
0, 506, total, 1158
0, 507, total, 1099
0, 508, total, 1112
0, 509, total, 1139
0, 510, total, 1226
0, 511, total, 1307
0, 512, total, 1277
0, 513, total, 1217
0, 514, total, 1181
0, 515, total, 1207
0, 516, total, 1204
0, 517, total, 1261
0, 518, total, 1354
0, 519, total, 1332
0, 520, total, 1265
0, 521, total, 1220
0, 522, total, 1250
0, 523, total, 1240
0, 524, total, 1318
0, 525, total, 1401
0, 526, total, 1400
0, 527, total, 1349
0, 528, total, 1305
0, 529, total, 1335
0, 530, total, 1359
0, 531, total, 1430
0, 532, total, 1498
0, 533, total, 1474
0, 534, total, 1410
0, 535, total, 1366
0, 536, total, 1390
0, 537, total, 1391
0, 538, total, 1468
0, 539, total, 1539
0, 540, total, 1521
0, 541, total, 1475
0, 542, total, 1420
0, 543, total, 1445
0, 544, total, 1413
0, 545, total, 1478
0, 546, total, 1556
0, 547, total, 1544
0, 548, total, 1503
0, 549, total, 1438
0, 550, total, 1462
0, 551, total, 1447
0, 552, total, 1524
0, 553, total, 1610
0, 554, total, 1586
0, 555, total, 1510
0, 556, total, 1459
0, 557, total, 1493
0, 558, total, 1475
0, 559, total, 1542
0, 560, total, 1629
0, 561, total, 1607
0, 562, total, 1556
0, 563, total, 1493
0, 564, total, 1527
0, 565, total, 1548
0, 566, total, 1624
0, 567, total, 1711
0, 568, total, 1700
0, 569, total, 1648
0, 570, total, 1588
0, 571, total, 1601
0, 572, total, 1602
0, 573, total, 1676
0, 574, total, 1758
0, 575, total, 1753
0, 576, total, 1698
0, 577, total, 1651
0, 578, total, 1678
0, 579, total, 1697
0, 580, total, 1776
0, 581, total, 1860
0, 582, total, 1843
0, 583, total, 1774
0, 584, total, 1727
0, 585, total, 1736
0, 586, total, 1730
0, 587, total, 1798
0, 588, total, 1885
0, 589, total, 1854
0, 590, total, 1792
0, 591, total, 1732
0, 592, total, 1759
0, 593, total, 1756
0, 594, total, 1844
0, 595, total, 1938
0, 596, total, 1924
0, 597, total, 1885
0, 598, total, 1844
0, 599, total, 1866
0, 600, total, 1858
0, 601, total, 1938
0, 602, total, 2022
0, 603, total, 2004
0, 604, total, 1966
0, 605, total, 1917
0, 606, total, 1949
0, 607, total, 1968
0, 608, total, 2051
0, 609, total, 2132
0, 610, total, 2106
0, 611, total, 2070
0, 612, total, 2026
0, 613, total, 2054
0, 614, total, 2058
0, 615, total, 2120
0, 616, total, 2229
0, 617, total, 2212
0, 618, total, 2161
0, 619, total, 2112
0, 620, total, 2140
0, 621, total, 2119
0, 622, total, 2186
0, 623, total, 2263
0, 624, total, 2260
0, 625, total, 2213
0, 626, total, 2171
0, 627, total, 2204
0, 628, total, 2192
0, 629, total, 2278
0, 630, total, 2347
0, 631, total, 2325
0, 632, total, 2289
0, 633, total, 2247
0, 634, total, 2289
0, 635, total, 2267
0, 636, total, 2334
0, 637, total, 2425
0, 638, total, 2394
0, 639, total, 2361
0, 640, total, 2309
0, 641, total, 2359
0, 642, total, 2357
0, 643, total, 2418
0, 644, total, 2520
0, 645, total, 2490
0, 646, total, 2432
0, 647, total, 2383
0, 648, total, 2410
0, 649, total, 2405
0, 650, total, 2472
0, 651, total, 2552
0, 652, total, 2542
0, 653, total, 2496
0, 654, total, 2445
0, 655, total, 2476
0, 656, total, 2481
0, 657, total, 2544
0, 658, total, 2638
0, 659, total, 2641
0, 660, total, 2587
0, 661, total, 2551
0, 662, total, 2593
0, 663, total, 2551
0, 664, total, 2606
0, 665, total, 2697
0, 666, total, 2704
0, 667, total, 2662
0, 668, total, 2614
0, 669, total, 2635
0, 670, total, 2625
0, 671, total, 2712
0, 672, total, 2798
0, 673, total, 2786
0, 674, total, 2718
0, 675, total, 2667
0, 676, total, 2692
0, 677, total, 2666
0, 678, total, 2742
0, 679, total, 2816
0, 680, total, 2775
0, 681, total, 2714
0, 682, total, 2681
0, 683, total, 2734
0, 684, total, 2733
0, 685, total, 2811
0, 686, total, 2888
0, 687, total, 2843
0, 688, total, 2784
0, 689, total, 2731
0, 690, total, 2762
0, 691, total, 2740
0, 692, total, 2813
0, 693, total, 2912
0, 694, total, 2883
0, 695, total, 2827
0, 696, total, 2782
0, 697, total, 2820
0, 698, total, 2819
0, 699, total, 2889
0, 700, total, 2963
0, 701, total, 2914
0, 702, total, 2882
0, 703, total, 2848
0, 704, total, 2846
0, 705, total, 2834
0, 706, total, 2910
0, 707, total, 3003
0, 708, total, 2998
0, 709, total, 2942
0, 710, total, 2876
0, 711, total, 2914
0, 712, total, 2933
0, 713, total, 3013
0, 714, total, 3098
0, 715, total, 3093
0, 716, total, 3037
0, 717, total, 2987
0, 718, total, 3021
0, 719, total, 3035
0, 720, total, 3112
0, 721, total, 3189
0, 722, total, 3167
0, 723, total, 3108
0, 724, total, 3057
0, 725, total, 3056
0, 726, total, 3023
0, 727, total, 3126
0, 728, total, 3212
0, 729, total, 3192
0, 730, total, 3118
0, 731, total, 3075
0, 732, total, 3074
0, 733, total, 3045
0, 734, total, 3132
0, 735, total, 3235
0, 736, total, 3200
0, 737, total, 3141
0, 738, total, 3088
0, 739, total, 3089
0, 740, total, 3070
0, 741, total, 3149
0, 742, total, 3267
0, 743, total, 3265
0, 744, total, 3215
0, 745, total, 3176
0, 746, total, 3154
0, 747, total, 3148
0, 748, total, 3233
0, 749, total, 3322
0, 750, total, 3369
0, 751, total, 3296
0, 752, total, 3238
0, 753, total, 3215
0, 754, total, 3196
0, 755, total, 3298
0, 756, total, 3391
0, 757, total, 3403
0, 758, total, 3373
0, 759, total, 3345
0, 760, total, 3341
0, 761, total, 3328
0, 762, total, 3414
0, 763, total, 3513
0, 764, total, 3534
0, 765, total, 3476
0, 766, total, 3454
0, 767, total, 3432
0, 768, total, 3404
0, 769, total, 3485
0, 770, total, 3576
0, 771, total, 3578
0, 772, total, 3541
0, 773, total, 3481
0, 774, total, 3500
0, 775, total, 3439
0, 776, total, 3507
0, 777, total, 3621
0, 778, total, 3604
0, 779, total, 3555
0, 780, total, 3506
0, 781, total, 3527
0, 782, total, 3503
0, 783, total, 3560
0, 784, total, 3654
0, 785, total, 3676
0, 786, total, 3632
0, 787, total, 3582
0, 788, total, 3599
0, 789, total, 3585
0, 790, total, 3649
0, 791, total, 3753
0, 792, total, 3757
0, 793, total, 3699
0, 794, total, 3647
0, 795, total, 3641
0, 796, total, 3669
0, 797, total, 3725
0, 798, total, 3810
0, 799, total, 3807
0, 800, total, 3765
0, 801, total, 3691
0, 802, total, 3675
0, 803, total, 3706
0, 804, total, 3779
0, 805, total, 3865
0, 806, total, 3856
0, 807, total, 3818
0, 808, total, 3775
0, 809, total, 3786
0, 810, total, 3767
0, 811, total, 3893
0, 812, total, 3969
0, 813, total, 3948
0, 814, total, 3915
0, 815, total, 3883
0, 816, total, 3869
0, 817, total, 3846
0, 818, total, 3934
0, 819, total, 4049
0, 820, total, 4014
0, 821, total, 3968
0, 822, total, 3897
0, 823, total, 3873
0, 824, total, 3863
0, 825, total, 3936
0, 826, total, 4045
0, 827, total, 4034
0, 828, total, 3992
0, 829, total, 3941
0, 830, total, 3918
0, 831, total, 3884
0, 832, total, 3958
0, 833, total, 4072
0, 834, total, 4105
0, 835, total, 4058
0, 836, total, 4027
0, 837, total, 3985
0, 838, total, 3954
0, 839, total, 4019
0, 840, total, 4101
0, 841, total, 4143
0, 842, total, 4098
0, 843, total, 4079
0, 844, total, 4070
0, 845, total, 4047
0, 846, total, 4127
0, 847, total, 4212
0, 848, total, 4182
0, 849, total, 4125
0, 850, total, 4057
0, 851, total, 4070
0, 852, total, 4026
0, 853, total, 4107
0, 854, total, 4198
0, 855, total, 4200
0, 856, total, 4134
0, 857, total, 4089
0, 858, total, 4142
0, 859, total, 4117
0, 860, total, 4176
0, 861, total, 4271
0, 862, total, 4267
0, 863, total, 4226
0, 864, total, 4173
0, 865, total, 4178
0, 866, total, 4189
0, 867, total, 4278
0, 868, total, 4366
0, 869, total, 4341
0, 870, total, 4301
0, 871, total, 4243
0, 872, total, 4254
0, 873, total, 4239
0, 874, total, 4345
0, 875, total, 4441
0, 876, total, 4446
