Replication, Day, Queue Amount
0, 748, 470
0, 749, 594
0, 750, 628
0, 751, 592
0, 752, 605
0, 753, 614
0, 754, 616
0, 755, 647
0, 756, 764
0, 757, 804
0, 758, 754
0, 759, 770
0, 760, 789
0, 761, 800
0, 762, 797
0, 763, 912
0, 764, 939
0, 765, 896
0, 766, 940
0, 767, 964
0, 768, 970
0, 769, 981
0, 770, 1110
0, 771, 1152
0, 772, 1075
0, 773, 1111
0, 774, 1144
0, 775, 1149
0, 776, 1164
0, 777, 1269
0, 778, 1298
0, 779, 1221
0, 780, 1242
0, 781, 1270
0, 782, 1274
0, 783, 1307
0, 784, 1405
0, 785, 1442
0, 786, 1375
0, 787, 1393
0, 788, 1417
0, 789, 1442
0, 790, 1455
0, 791, 1576
0, 792, 1609
0, 793, 1532
0, 794, 1560
0, 795, 1550
0, 796, 1580
0, 797, 1601
0, 798, 1716
0, 799, 1752
0, 800, 1674
0, 801, 1667
0, 802, 1697
0, 803, 1710
0, 804, 1714
0, 805, 1810
0, 806, 1840
0, 807, 1783
0, 808, 1808
0, 809, 1822
0, 810, 1792
0, 811, 1825
0, 812, 1932
0, 813, 1969
0, 814, 1904
0, 815, 1923
0, 816, 1928
0, 817, 1927
0, 818, 1968
0, 819, 2052
0, 820, 2079
0, 821, 2017
0, 822, 2003
0, 823, 2016
0, 824, 2026
0, 825, 2046
0, 826, 2148
0, 827, 2185
0, 828, 2149
0, 829, 2171
0, 830, 2176
0, 831, 2195
0, 832, 2227
0, 833, 2317
0, 834, 2353
0, 835, 2309
0, 836, 2338
0, 837, 2347
0, 838, 2386
0, 839, 2387
0, 840, 2511
0, 841, 2546
0, 842, 2494
0, 843, 2505
0, 844, 2523
0, 845, 2540
0, 846, 2568
0, 847, 2678
0, 848, 2712
0, 849, 2655
0, 850, 2704
0, 851, 2730
0, 852, 2768
0, 853, 2779
0, 854, 2917
0, 855, 2949
0, 856, 2887
0, 857, 2908
0, 858, 2912
0, 859, 2939
0, 860, 2960
0, 861, 3075
0, 862, 3110
0, 863, 3032
0, 864, 3037
0, 865, 3042
0, 866, 3049
0, 867, 3086
0, 868, 3193
0, 869, 3225
0, 870, 3184
0, 871, 3234
0, 872, 3220
0, 873, 3193
0, 874, 3176
0, 875, 3232
0, 876, 3258
0, 877, 3209
0, 878, 3235
0, 879, 3234
0, 880, 3233
0, 881, 3194
0, 882, 3256
0, 883, 3279
0, 884, 3216
0, 885, 3230
0, 886, 3194
0, 887, 3177
0, 888, 3153
0, 889, 3224
0, 890, 3251
0, 891, 3197
0, 892, 3210
0, 893, 3162
0, 894, 3140
0, 895, 3133
0, 896, 3202
0, 897, 3243
0, 898, 3196
0, 899, 3226
0, 900, 3192
0, 901, 3180
0, 902, 3159
0, 903, 3227
0, 904, 3254
0, 905, 3194
0, 906, 3206
0, 907, 3203
0, 908, 3189
0, 909, 3155
0, 910, 3226
0, 911, 3262
0, 912, 3222
0, 913, 3238
0, 914, 3237
0, 915, 3244
0, 916, 3209
0, 917, 3291
0, 918, 3318
0, 919, 3255
0, 920, 3249
0, 921, 3258
0, 922, 3241
0, 923, 3211
0, 924, 3270
0, 925, 3309
0, 926, 3261
0, 927, 3274
0, 928, 3274
0, 929, 3237
0, 930, 3227
0, 931, 3285
0, 932, 3331
0, 933, 3278
0, 934, 3276
0, 935, 3271
0, 936, 3233
0, 937, 3215
0, 938, 3281
0, 939, 3308
0, 940, 3256
0, 941, 3275
0, 942, 3298
0, 943, 3288
0, 944, 3282
0, 945, 3365
0, 946, 3405
0, 947, 3360
0, 948, 3392
0, 949, 3375
0, 950, 3359
0, 951, 3320
0, 952, 3390
0, 953, 3416
0, 954, 3349
0, 955, 3383
0, 956, 3362
0, 957, 3357
0, 958, 3355
0, 959, 3422
0, 960, 3450
0, 961, 3387
0, 962, 3404
0, 963, 3426
0, 964, 3390
0, 965, 3360
0, 966, 3429
0, 967, 3456
0, 968, 3390
0, 969, 3407
0, 970, 3443
0, 971, 3421
0, 972, 3403
0, 973, 3475
0, 974, 3511
0, 975, 3452
0, 976, 3494
0, 977, 3470
0, 978, 3442
0, 979, 3422
0, 980, 3504
0, 981, 3530
0, 982, 3469
0, 983, 3491
0, 984, 3487
0, 985, 3477
0, 986, 3461
0, 987, 3531
0, 988, 3568
0, 989, 3527
0, 990, 3550
0, 991, 3571
0, 992, 3542
0, 993, 3508
0, 994, 3584
0, 995, 3618
0, 996, 3565
0, 997, 3570
0, 998, 3572
0, 999, 3536
0, 1000, 3510
0, 1001, 3578
0, 1002, 3612
0, 1003, 3556
0, 1004, 3568
0, 1005, 3564
0, 1006, 3533
0, 1007, 3511
0, 1008, 3577
0, 1009, 3619
0, 1010, 3574
0, 1011, 3598
0, 1012, 3612
0, 1013, 3607
0, 1014, 3555
0, 1015, 3623
0, 1016, 3667
0, 1017, 3644
0, 1018, 3671
0, 1019, 3661
0, 1020, 3643
0, 1021, 3622
0, 1022, 3696
0, 1023, 3722
0, 1024, 3665
0, 1025, 3684
0, 1026, 3686
0, 1027, 3664
0, 1028, 3645
0, 1029, 3722
0, 1030, 3761
0, 1031, 3713
0, 1032, 3762
0, 1033, 3756
0, 1034, 3748
0, 1035, 3718
0, 1036, 3787
0, 1037, 3819
0, 1038, 3766
0, 1039, 3794
0, 1040, 3758
0, 1041, 3743
0, 1042, 3711
0, 1043, 3789
0, 1044, 3826
0, 1045, 3771
0, 1046, 3811
0, 1047, 3784
0, 1048, 3776
0, 1049, 3747
0, 1050, 3824
0, 1051, 3863
0, 1052, 3812
0, 1053, 3816
0, 1054, 3820
0, 1055, 3780
0, 1056, 3759
0, 1057, 3830
0, 1058, 3863
0, 1059, 3804
0, 1060, 3834
0, 1061, 3831
0, 1062, 3808
0, 1063, 3781
0, 1064, 3844
0, 1065, 3877
0, 1066, 3826
0, 1067, 3854
0, 1068, 3854
0, 1069, 3847
0, 1070, 3830
