Replication, Day, Queued To, Queue Amount
0, 0, total, 0
0, 1, total, 0
0, 2, total, 0
0, 3, total, 0
0, 4, total, 0
0, 5, total, 0
0, 6, total, 30
0, 7, total, 70
0, 8, total, 15
0, 9, total, 0
0, 10, total, 0
0, 11, total, 0
0, 12, total, 0
0, 13, total, 27
0, 14, total, 62
0, 15, total, 0
0, 16, total, 0
0, 17, total, 0
0, 18, total, 0
0, 19, total, 0
0, 20, total, 36
0, 21, total, 73
0, 22, total, 24
0, 23, total, 0
0, 24, total, 0
0, 25, total, 0
0, 26, total, 0
0, 27, total, 43
0, 28, total, 67
0, 29, total, 0
0, 30, total, 0
0, 31, total, 0
0, 32, total, 0
0, 33, total, 0
0, 34, total, 43
0, 35, total, 84
0, 36, total, 24
0, 37, total, 0
0, 38, total, 0
0, 39, total, 0
0, 40, total, 0
0, 41, total, 35
0, 42, total, 72
0, 43, total, 11
0, 44, total, 0
0, 45, total, 0
0, 46, total, 0
0, 47, total, 0
0, 48, total, 37
0, 49, total, 65
0, 50, total, 11
0, 51, total, 0
0, 52, total, 0
0, 53, total, 0
0, 54, total, 0
0, 55, total, 41
0, 56, total, 90
0, 57, total, 51
0, 58, total, 0
0, 59, total, 0
0, 60, total, 0
0, 61, total, 0
0, 62, total, 46
0, 63, total, 77
0, 64, total, 26
0, 65, total, 0
0, 66, total, 0
0, 67, total, 0
0, 68, total, 0
0, 69, total, 36
0, 70, total, 88
0, 71, total, 25
0, 72, total, 0
0, 73, total, 0
0, 74, total, 0
0, 75, total, 0
0, 76, total, 55
0, 77, total, 105
0, 78, total, 64
0, 79, total, 25
0, 80, total, 0
0, 81, total, 0
0, 82, total, 0
0, 83, total, 51
0, 84, total, 102
0, 85, total, 60
0, 86, total, 16
0, 87, total, 0
0, 88, total, 0
0, 89, total, 0
0, 90, total, 55
0, 91, total, 108
0, 92, total, 88
0, 93, total, 41
0, 94, total, 9
0, 95, total, 0
0, 96, total, 0
0, 97, total, 58
0, 98, total, 123
0, 99, total, 94
0, 100, total, 48
0, 101, total, 0
0, 102, total, 0
0, 103, total, 0
0, 104, total, 65
0, 105, total, 123
0, 106, total, 70
0, 107, total, 28
0, 108, total, 0
0, 109, total, 0
0, 110, total, 0
0, 111, total, 57
0, 112, total, 120
0, 113, total, 79
0, 114, total, 50
0, 115, total, 12
0, 116, total, 0
0, 117, total, 0
0, 118, total, 54
0, 119, total, 125
0, 120, total, 83
0, 121, total, 32
0, 122, total, 0
0, 123, total, 0
0, 124, total, 0
0, 125, total, 50
0, 126, total, 117
0, 127, total, 104
0, 128, total, 55
0, 129, total, 5
0, 130, total, 0
0, 131, total, 0
0, 132, total, 61
0, 133, total, 144
0, 134, total, 104
0, 135, total, 73
0, 136, total, 12
0, 137, total, 0
0, 138, total, 0
0, 139, total, 66
0, 140, total, 138
0, 141, total, 94
0, 142, total, 62
0, 143, total, 35
0, 144, total, 5
0, 145, total, 0
0, 146, total, 58
0, 147, total, 133
0, 148, total, 101
0, 149, total, 52
0, 150, total, 15
0, 151, total, 0
0, 152, total, 0
0, 153, total, 79
0, 154, total, 162
0, 155, total, 129
0, 156, total, 94
0, 157, total, 82
0, 158, total, 52
0, 159, total, 10
0, 160, total, 80
0, 161, total, 152
0, 162, total, 133
0, 163, total, 109
0, 164, total, 87
0, 165, total, 48
0, 166, total, 0
0, 167, total, 77
0, 168, total, 157
0, 169, total, 131
0, 170, total, 75
0, 171, total, 80
0, 172, total, 62
0, 173, total, 39
0, 174, total, 117
0, 175, total, 185
0, 176, total, 129
0, 177, total, 106
0, 178, total, 80
0, 179, total, 60
0, 180, total, 22
0, 181, total, 115
0, 182, total, 194
0, 183, total, 188
0, 184, total, 168
0, 185, total, 149
0, 186, total, 133
0, 187, total, 114
0, 188, total, 188
0, 189, total, 274
0, 190, total, 288
0, 191, total, 270
0, 192, total, 281
0, 193, total, 272
0, 194, total, 233
0, 195, total, 310
0, 196, total, 385
0, 197, total, 359
0, 198, total, 344
0, 199, total, 314
0, 200, total, 310
0, 201, total, 283
0, 202, total, 355
0, 203, total, 447
0, 204, total, 425
0, 205, total, 384
0, 206, total, 383
0, 207, total, 367
0, 208, total, 374
0, 209, total, 459
0, 210, total, 527
0, 211, total, 528
0, 212, total, 539
0, 213, total, 548
0, 214, total, 547
0, 215, total, 528
0, 216, total, 618
0, 217, total, 693
0, 218, total, 661
0, 219, total, 651
0, 220, total, 633
0, 221, total, 619
0, 222, total, 586
0, 223, total, 676
0, 224, total, 772
0, 225, total, 768
0, 226, total, 770
0, 227, total, 745
0, 228, total, 727
0, 229, total, 722
0, 230, total, 831
0, 231, total, 943
0, 232, total, 941
0, 233, total, 925
0, 234, total, 913
0, 235, total, 881
0, 236, total, 864
0, 237, total, 969
0, 238, total, 1056
0, 239, total, 1044
0, 240, total, 1024
0, 241, total, 1018
0, 242, total, 987
0, 243, total, 967
0, 244, total, 1065
0, 245, total, 1170
0, 246, total, 1184
0, 247, total, 1193
0, 248, total, 1192
0, 249, total, 1177
0, 250, total, 1170
0, 251, total, 1255
0, 252, total, 1361
0, 253, total, 1365
0, 254, total, 1360
0, 255, total, 1325
0, 256, total, 1314
0, 257, total, 1318
0, 258, total, 1418
0, 259, total, 1537
0, 260, total, 1541
0, 261, total, 1522
0, 262, total, 1510
0, 263, total, 1499
0, 264, total, 1510
0, 265, total, 1587
0, 266, total, 1695
0, 267, total, 1679
0, 268, total, 1647
0, 269, total, 1637
0, 270, total, 1629
0, 271, total, 1611
0, 272, total, 1701
0, 273, total, 1803
0, 274, total, 1800
0, 275, total, 1791
0, 276, total, 1780
0, 277, total, 1778
0, 278, total, 1767
0, 279, total, 1856
0, 280, total, 1945
0, 281, total, 1940
0, 282, total, 1940
0, 283, total, 1921
0, 284, total, 1917
0, 285, total, 1898
0, 286, total, 1986
0, 287, total, 2071
0, 288, total, 2029
0, 289, total, 2007
0, 290, total, 2003
0, 291, total, 1978
0, 292, total, 1947
0, 293, total, 2023
0, 294, total, 2107
0, 295, total, 2094
0, 296, total, 2065
0, 297, total, 2050
0, 298, total, 2014
0, 299, total, 1978
0, 300, total, 2043
0, 301, total, 2123
0, 302, total, 2113
0, 303, total, 2103
0, 304, total, 2070
0, 305, total, 2045
0, 306, total, 2018
0, 307, total, 2098
0, 308, total, 2175
0, 309, total, 2147
0, 310, total, 2114
0, 311, total, 2078
0, 312, total, 2070
0, 313, total, 2042
0, 314, total, 2115
0, 315, total, 2178
0, 316, total, 2119
0, 317, total, 2104
0, 318, total, 2086
0, 319, total, 2075
0, 320, total, 2047
0, 321, total, 2116
0, 322, total, 2192
0, 323, total, 2160
0, 324, total, 2133
0, 325, total, 2086
0, 326, total, 2063
0, 327, total, 2018
0, 328, total, 2100
0, 329, total, 2170
0, 330, total, 2163
0, 331, total, 2129
0, 332, total, 2094
0, 333, total, 2072
0, 334, total, 2059
0, 335, total, 2134
0, 336, total, 2211
0, 337, total, 2191
0, 338, total, 2172
0, 339, total, 2138
0, 340, total, 2120
0, 341, total, 2104
0, 342, total, 2179
0, 343, total, 2241
0, 344, total, 2208
0, 345, total, 2173
0, 346, total, 2147
0, 347, total, 2103
0, 348, total, 2064
0, 349, total, 2124
0, 350, total, 2192
0, 351, total, 2166
0, 352, total, 2136
0, 353, total, 2106
0, 354, total, 2054
0, 355, total, 2022
0, 356, total, 2086
0, 357, total, 2150
0, 358, total, 2104
0, 359, total, 2058
0, 360, total, 2041
0, 361, total, 2004
0, 362, total, 1978
0, 363, total, 2048
0, 364, total, 2121
0, 365, total, 2114
0, 366, total, 2066
0, 367, total, 2034
0, 368, total, 1990
0, 369, total, 1941
0, 370, total, 2005
0, 371, total, 2072
0, 372, total, 2030
0, 373, total, 2001
0, 374, total, 1980
0, 375, total, 1934
0, 376, total, 1913
0, 377, total, 1963
0, 378, total, 2025
0, 379, total, 1985
0, 380, total, 1935
0, 381, total, 1911
0, 382, total, 1877
0, 383, total, 1860
0, 384, total, 1932
0, 385, total, 1986
0, 386, total, 1942
0, 387, total, 1897
0, 388, total, 1870
0, 389, total, 1827
0, 390, total, 1770
0, 391, total, 1832
0, 392, total, 1890
0, 393, total, 1847
0, 394, total, 1822
0, 395, total, 1786
0, 396, total, 1746
0, 397, total, 1713
0, 398, total, 1769
0, 399, total, 1832
0, 400, total, 1816
0, 401, total, 1766
0, 402, total, 1715
0, 403, total, 1668
0, 404, total, 1621
0, 405, total, 1666
0, 406, total, 1724
0, 407, total, 1685
0, 408, total, 1646
0, 409, total, 1609
0, 410, total, 1555
0, 411, total, 1525
0, 412, total, 1572
0, 413, total, 1628
0, 414, total, 1591
0, 415, total, 1555
0, 416, total, 1504
0, 417, total, 1456
0, 418, total, 1417
0, 419, total, 1470
0, 420, total, 1523
0, 421, total, 1486
0, 422, total, 1433
0, 423, total, 1379
0, 424, total, 1326
0, 425, total, 1277
0, 426, total, 1311
0, 427, total, 1353
0, 428, total, 1310
0, 429, total, 1251
0, 430, total, 1206
0, 431, total, 1145
0, 432, total, 1076
0, 433, total, 1129
0, 434, total, 1181
0, 435, total, 1141
0, 436, total, 1080
0, 437, total, 1037
0, 438, total, 977
0, 439, total, 918
0, 440, total, 967
0, 441, total, 1005
0, 442, total, 947
0, 443, total, 895
0, 444, total, 837
0, 445, total, 776
0, 446, total, 711
0, 447, total, 757
0, 448, total, 804
0, 449, total, 748
0, 450, total, 705
0, 451, total, 662
0, 452, total, 600
0, 453, total, 555
0, 454, total, 607
0, 455, total, 659
0, 456, total, 611
0, 457, total, 551
0, 458, total, 505
0, 459, total, 426
0, 460, total, 379
0, 461, total, 422
0, 462, total, 477
0, 463, total, 425
0, 464, total, 394
0, 465, total, 348
0, 466, total, 285
0, 467, total, 248
0, 468, total, 310
0, 469, total, 360
0, 470, total, 330
0, 471, total, 298
0, 472, total, 264
0, 473, total, 206
0, 474, total, 167
0, 475, total, 228
0, 476, total, 289
0, 477, total, 238
0, 478, total, 215
0, 479, total, 170
0, 480, total, 155
0, 481, total, 121
0, 482, total, 179
0, 483, total, 224
0, 484, total, 195
0, 485, total, 178
0, 486, total, 110
0, 487, total, 70
0, 488, total, 20
0, 489, total, 89
0, 490, total, 158
0, 491, total, 131
0, 492, total, 90
0, 493, total, 61
0, 494, total, 19
0, 495, total, 0
0, 496, total, 59
0, 497, total, 106
0, 498, total, 43
0, 499, total, 11
0, 500, total, 0
0, 501, total, 0
0, 502, total, 0
0, 503, total, 62
0, 504, total, 132
0, 505, total, 117
0, 506, total, 84
0, 507, total, 56
0, 508, total, 20
0, 509, total, 0
0, 510, total, 60
0, 511, total, 127
0, 512, total, 88
0, 513, total, 57
0, 514, total, 26
0, 515, total, 0
0, 516, total, 0
0, 517, total, 62
0, 518, total, 146
0, 519, total, 122
0, 520, total, 77
0, 521, total, 74
0, 522, total, 52
0, 523, total, 1
0, 524, total, 61
0, 525, total, 136
0, 526, total, 101
0, 527, total, 81
0, 528, total, 37
0, 529, total, 30
0, 530, total, 0
0, 531, total, 61
0, 532, total, 148
0, 533, total, 113
0, 534, total, 82
0, 535, total, 29
0, 536, total, 1
0, 537, total, 0
0, 538, total, 73
0, 539, total, 138
0, 540, total, 101
0, 541, total, 80
0, 542, total, 55
0, 543, total, 6
0, 544, total, 0
0, 545, total, 78
0, 546, total, 156
0, 547, total, 127
0, 548, total, 105
0, 549, total, 89
0, 550, total, 58
0, 551, total, 46
0, 552, total, 127
0, 553, total, 206
0, 554, total, 178
0, 555, total, 174
0, 556, total, 146
0, 557, total, 92
0, 558, total, 57
0, 559, total, 136
0, 560, total, 213
0, 561, total, 202
0, 562, total, 194
0, 563, total, 168
0, 564, total, 132
0, 565, total, 101
0, 566, total, 170
0, 567, total, 252
0, 568, total, 207
0, 569, total, 176
0, 570, total, 147
0, 571, total, 111
0, 572, total, 86
0, 573, total, 178
0, 574, total, 241
0, 575, total, 223
0, 576, total, 235
0, 577, total, 214
0, 578, total, 189
0, 579, total, 159
0, 580, total, 239
0, 581, total, 327
0, 582, total, 298
0, 583, total, 276
0, 584, total, 262
0, 585, total, 247
0, 586, total, 233
0, 587, total, 330
0, 588, total, 402
0, 589, total, 373
0, 590, total, 357
0, 591, total, 347
0, 592, total, 299
0, 593, total, 279
0, 594, total, 357
0, 595, total, 445
0, 596, total, 453
0, 597, total, 433
0, 598, total, 408
0, 599, total, 409
0, 600, total, 397
0, 601, total, 478
0, 602, total, 564
0, 603, total, 571
0, 604, total, 542
0, 605, total, 529
0, 606, total, 530
0, 607, total, 540
0, 608, total, 617
0, 609, total, 695
0, 610, total, 673
0, 611, total, 662
0, 612, total, 645
0, 613, total, 645
0, 614, total, 637
0, 615, total, 717
0, 616, total, 804
0, 617, total, 785
0, 618, total, 783
0, 619, total, 780
0, 620, total, 776
0, 621, total, 733
0, 622, total, 829
0, 623, total, 911
0, 624, total, 909
0, 625, total, 882
0, 626, total, 862
0, 627, total, 857
0, 628, total, 852
0, 629, total, 945
0, 630, total, 1058
0, 631, total, 1048
0, 632, total, 1045
0, 633, total, 1060
0, 634, total, 1025
0, 635, total, 1011
0, 636, total, 1118
0, 637, total, 1208
0, 638, total, 1189
0, 639, total, 1147
0, 640, total, 1132
0, 641, total, 1110
0, 642, total, 1100
0, 643, total, 1191
0, 644, total, 1272
0, 645, total, 1252
0, 646, total, 1246
0, 647, total, 1234
0, 648, total, 1228
0, 649, total, 1206
0, 650, total, 1290
0, 651, total, 1365
0, 652, total, 1356
0, 653, total, 1343
0, 654, total, 1321
0, 655, total, 1307
0, 656, total, 1297
0, 657, total, 1391
0, 658, total, 1469
0, 659, total, 1451
0, 660, total, 1437
0, 661, total, 1435
0, 662, total, 1417
0, 663, total, 1405
0, 664, total, 1485
0, 665, total, 1571
0, 666, total, 1551
0, 667, total, 1550
0, 668, total, 1536
0, 669, total, 1511
0, 670, total, 1484
0, 671, total, 1552
0, 672, total, 1631
0, 673, total, 1606
0, 674, total, 1586
0, 675, total, 1561
0, 676, total, 1532
0, 677, total, 1534
0, 678, total, 1612
0, 679, total, 1709
0, 680, total, 1685
0, 681, total, 1674
0, 682, total, 1665
0, 683, total, 1675
0, 684, total, 1668
0, 685, total, 1743
0, 686, total, 1826
0, 687, total, 1821
0, 688, total, 1804
0, 689, total, 1774
0, 690, total, 1745
0, 691, total, 1714
0, 692, total, 1800
0, 693, total, 1890
0, 694, total, 1854
0, 695, total, 1847
0, 696, total, 1855
0, 697, total, 1825
0, 698, total, 1770
0, 699, total, 1851
0, 700, total, 1927
0, 701, total, 1918
0, 702, total, 1903
0, 703, total, 1877
0, 704, total, 1853
0, 705, total, 1835
0, 706, total, 1906
0, 707, total, 1970
0, 708, total, 1956
0, 709, total, 1937
0, 710, total, 1912
0, 711, total, 1896
0, 712, total, 1870
0, 713, total, 1949
0, 714, total, 2015
0, 715, total, 1974
0, 716, total, 1963
0, 717, total, 1937
0, 718, total, 1913
0, 719, total, 1886
0, 720, total, 1958
0, 721, total, 2062
0, 722, total, 2031
0, 723, total, 2050
0, 724, total, 2048
0, 725, total, 2055
0, 726, total, 2003
0, 727, total, 2081
0, 728, total, 2223
0, 729, total, 2217
0, 730, total, 2215
0, 731, total, 2214
0, 732, total, 2201
0, 733, total, 2157
0, 734, total, 2242
0, 735, total, 2373
0, 736, total, 2354
0, 737, total, 2365
0, 738, total, 2391
0, 739, total, 2385
0, 740, total, 2353
0, 741, total, 2427
0, 742, total, 2569
0, 743, total, 2612
0, 744, total, 2596
0, 745, total, 2605
0, 746, total, 2600
0, 747, total, 2560
0, 748, total, 2617
0, 749, total, 2757
0, 750, total, 2741
0, 751, total, 2732
0, 752, total, 2728
0, 753, total, 2711
0, 754, total, 2673
0, 755, total, 2720
0, 756, total, 2866
0, 757, total, 2876
0, 758, total, 2892
0, 759, total, 2883
0, 760, total, 2866
0, 761, total, 2835
0, 762, total, 2887
0, 763, total, 3036
0, 764, total, 3028
0, 765, total, 3051
0, 766, total, 3058
0, 767, total, 3037
0, 768, total, 2982
0, 769, total, 3054
0, 770, total, 3198
0, 771, total, 3178
0, 772, total, 3173
0, 773, total, 3160
0, 774, total, 3152
0, 775, total, 3095
0, 776, total, 3150
0, 777, total, 3271
0, 778, total, 3307
0, 779, total, 3292
0, 780, total, 3276
0, 781, total, 3280
0, 782, total, 3232
0, 783, total, 3294
0, 784, total, 3413
0, 785, total, 3442
0, 786, total, 3433
0, 787, total, 3419
0, 788, total, 3406
0, 789, total, 3357
0, 790, total, 3403
0, 791, total, 3537
0, 792, total, 3533
0, 793, total, 3511
0, 794, total, 3510
0, 795, total, 3501
0, 796, total, 3460
0, 797, total, 3508
0, 798, total, 3635
0, 799, total, 3642
0, 800, total, 3656
0, 801, total, 3652
0, 802, total, 3658
0, 803, total, 3603
0, 804, total, 3654
0, 805, total, 3766
0, 806, total, 3789
0, 807, total, 3803
0, 808, total, 3776
0, 809, total, 3759
0, 810, total, 3702
0, 811, total, 3740
0, 812, total, 3859
0, 813, total, 3900
0, 814, total, 3925
0, 815, total, 3933
0, 816, total, 3928
0, 817, total, 3852
0, 818, total, 3902
0, 819, total, 4029
0, 820, total, 4075
0, 821, total, 4098
0, 822, total, 4075
0, 823, total, 4084
0, 824, total, 4012
0, 825, total, 4047
0, 826, total, 4170
0, 827, total, 4191
0, 828, total, 4210
0, 829, total, 4216
0, 830, total, 4230
0, 831, total, 4162
0, 832, total, 4195
0, 833, total, 4300
0, 834, total, 4317
0, 835, total, 4367
0, 836, total, 4397
0, 837, total, 4377
0, 838, total, 4324
0, 839, total, 4363
0, 840, total, 4469
0, 841, total, 4498
0, 842, total, 4519
0, 843, total, 4493
0, 844, total, 4509
0, 845, total, 4448
0, 846, total, 4489
0, 847, total, 4608
0, 848, total, 4626
0, 849, total, 4626
0, 850, total, 4612
0, 851, total, 4610
0, 852, total, 4553
0, 853, total, 4593
0, 854, total, 4707
0, 855, total, 4716
0, 856, total, 4765
0, 857, total, 4748
0, 858, total, 4740
0, 859, total, 4685
0, 860, total, 4725
0, 861, total, 4844
0, 862, total, 4862
0, 863, total, 4875
0, 864, total, 4904
0, 865, total, 4907
0, 866, total, 4839
0, 867, total, 4875
0, 868, total, 4976
0, 869, total, 4993
0, 870, total, 5027
