Replication, Day, Queued To, Queue Amount
0, 0, total, 0
0, 1, total, 0
0, 2, total, 0
0, 3, total, 0
0, 4, total, 0
0, 5, total, 0
0, 6, total, 56
0, 7, total, 108
0, 8, total, 63
0, 9, total, 17
0, 10, total, 0
0, 11, total, 0
0, 12, total, 0
0, 13, total, 67
0, 14, total, 120
0, 15, total, 77
0, 16, total, 33
0, 17, total, 0
0, 18, total, 0
0, 19, total, 0
0, 20, total, 48
0, 21, total, 102
0, 22, total, 65
0, 23, total, 2
0, 24, total, 0
0, 25, total, 0
0, 26, total, 0
0, 27, total, 55
0, 28, total, 97
0, 29, total, 24
0, 30, total, 0
0, 31, total, 0
0, 32, total, 0
0, 33, total, 0
0, 34, total, 59
0, 35, total, 123
0, 36, total, 94
0, 37, total, 26
0, 38, total, 0
0, 39, total, 0
0, 40, total, 0
0, 41, total, 49
0, 42, total, 112
0, 43, total, 73
0, 44, total, 12
0, 45, total, 0
0, 46, total, 0
0, 47, total, 0
0, 48, total, 55
0, 49, total, 118
0, 50, total, 69
0, 51, total, 22
0, 52, total, 0
0, 53, total, 0
0, 54, total, 0
0, 55, total, 48
0, 56, total, 93
0, 57, total, 14
0, 58, total, 0
0, 59, total, 0
0, 60, total, 0
0, 61, total, 0
0, 62, total, 53
0, 63, total, 113
0, 64, total, 76
0, 65, total, 38
0, 66, total, 0
0, 67, total, 0
0, 68, total, 0
0, 69, total, 43
0, 70, total, 91
0, 71, total, 39
0, 72, total, 1
0, 73, total, 0
0, 74, total, 0
0, 75, total, 0
0, 76, total, 50
0, 77, total, 102
0, 78, total, 33
0, 79, total, 0
0, 80, total, 0
0, 81, total, 0
0, 82, total, 0
0, 83, total, 45
0, 84, total, 98
0, 85, total, 36
0, 86, total, 6
0, 87, total, 0
0, 88, total, 0
0, 89, total, 0
0, 90, total, 66
0, 91, total, 107
0, 92, total, 73
0, 93, total, 39
0, 94, total, 0
0, 95, total, 0
0, 96, total, 0
0, 97, total, 42
0, 98, total, 99
0, 99, total, 57
0, 100, total, 24
0, 101, total, 0
0, 102, total, 0
0, 103, total, 0
0, 104, total, 46
0, 105, total, 87
0, 106, total, 17
0, 107, total, 0
0, 108, total, 0
0, 109, total, 0
0, 110, total, 0
0, 111, total, 45
0, 112, total, 87
0, 113, total, 29
0, 114, total, 0
0, 115, total, 0
0, 116, total, 0
0, 117, total, 0
0, 118, total, 48
0, 119, total, 98
0, 120, total, 63
0, 121, total, 17
0, 122, total, 0
0, 123, total, 0
0, 124, total, 0
0, 125, total, 49
0, 126, total, 104
0, 127, total, 47
0, 128, total, 0
0, 129, total, 0
0, 130, total, 0
0, 131, total, 0
0, 132, total, 46
0, 133, total, 88
0, 134, total, 24
0, 135, total, 0
0, 136, total, 0
0, 137, total, 0
0, 138, total, 0
0, 139, total, 47
0, 140, total, 106
0, 141, total, 53
0, 142, total, 3
0, 143, total, 0
0, 144, total, 0
0, 145, total, 0
0, 146, total, 53
0, 147, total, 102
0, 148, total, 60
0, 149, total, 21
0, 150, total, 0
0, 151, total, 0
0, 152, total, 0
0, 153, total, 57
0, 154, total, 114
0, 155, total, 78
0, 156, total, 27
0, 157, total, 0
0, 158, total, 0
0, 159, total, 0
0, 160, total, 48
0, 161, total, 90
0, 162, total, 26
0, 163, total, 0
0, 164, total, 0
0, 165, total, 0
0, 166, total, 0
0, 167, total, 39
0, 168, total, 90
0, 169, total, 26
0, 170, total, 0
0, 171, total, 0
0, 172, total, 0
0, 173, total, 0
0, 174, total, 53
0, 175, total, 106
0, 176, total, 55
0, 177, total, 1
0, 178, total, 0
0, 179, total, 0
0, 180, total, 0
0, 181, total, 54
0, 182, total, 101
0, 183, total, 56
0, 184, total, 8
0, 185, total, 0
0, 186, total, 0
0, 187, total, 0
0, 188, total, 61
0, 189, total, 114
0, 190, total, 89
0, 191, total, 52
0, 192, total, 0
0, 193, total, 0
0, 194, total, 0
0, 195, total, 59
0, 196, total, 120
0, 197, total, 77
0, 198, total, 48
0, 199, total, 0
0, 200, total, 0
0, 201, total, 0
0, 202, total, 45
0, 203, total, 101
0, 204, total, 60
0, 205, total, 13
0, 206, total, 0
0, 207, total, 0
0, 208, total, 0
0, 209, total, 66
0, 210, total, 124
0, 211, total, 78
0, 212, total, 16
0, 213, total, 0
0, 214, total, 0
0, 215, total, 0
0, 216, total, 52
0, 217, total, 128
0, 218, total, 84
0, 219, total, 21
0, 220, total, 0
0, 221, total, 0
0, 222, total, 0
0, 223, total, 58
0, 224, total, 103
0, 225, total, 80
0, 226, total, 39
0, 227, total, 0
0, 228, total, 0
0, 229, total, 0
0, 230, total, 54
0, 231, total, 120
0, 232, total, 77
0, 233, total, 31
0, 234, total, 0
0, 235, total, 0
0, 236, total, 0
0, 237, total, 68
0, 238, total, 127
0, 239, total, 86
0, 240, total, 27
0, 241, total, 0
0, 242, total, 0
0, 243, total, 0
0, 244, total, 65
0, 245, total, 130
0, 246, total, 78
0, 247, total, 43
0, 248, total, 0
0, 249, total, 0
0, 250, total, 0
0, 251, total, 62
0, 252, total, 106
0, 253, total, 69
0, 254, total, 32
0, 255, total, 0
0, 256, total, 0
0, 257, total, 0
0, 258, total, 54
0, 259, total, 122
0, 260, total, 55
0, 261, total, 16
0, 262, total, 0
0, 263, total, 0
0, 264, total, 0
0, 265, total, 66
0, 266, total, 129
0, 267, total, 79
0, 268, total, 44
0, 269, total, 0
0, 270, total, 0
0, 271, total, 0
0, 272, total, 64
0, 273, total, 129
0, 274, total, 100
0, 275, total, 38
0, 276, total, 0
0, 277, total, 0
0, 278, total, 0
0, 279, total, 64
0, 280, total, 112
0, 281, total, 76
0, 282, total, 34
0, 283, total, 0
0, 284, total, 0
0, 285, total, 0
0, 286, total, 77
0, 287, total, 134
0, 288, total, 93
0, 289, total, 51
0, 290, total, 5
0, 291, total, 0
0, 292, total, 0
0, 293, total, 69
0, 294, total, 109
0, 295, total, 59
0, 296, total, 2
0, 297, total, 0
0, 298, total, 0
0, 299, total, 0
0, 300, total, 49
0, 301, total, 117
0, 302, total, 64
0, 303, total, 27
0, 304, total, 0
0, 305, total, 0
0, 306, total, 0
0, 307, total, 43
0, 308, total, 94
0, 309, total, 40
0, 310, total, 5
0, 311, total, 0
0, 312, total, 0
0, 313, total, 0
0, 314, total, 39
0, 315, total, 98
0, 316, total, 71
0, 317, total, 41
0, 318, total, 0
0, 319, total, 0
0, 320, total, 0
0, 321, total, 72
0, 322, total, 132
0, 323, total, 86
0, 324, total, 42
0, 325, total, 0
0, 326, total, 0
0, 327, total, 0
0, 328, total, 58
0, 329, total, 109
0, 330, total, 74
0, 331, total, 46
0, 332, total, 3
0, 333, total, 0
0, 334, total, 0
0, 335, total, 54
0, 336, total, 113
0, 337, total, 74
0, 338, total, 26
0, 339, total, 0
0, 340, total, 0
0, 341, total, 0
0, 342, total, 62
0, 343, total, 109
0, 344, total, 77
0, 345, total, 37
0, 346, total, 0
0, 347, total, 0
0, 348, total, 0
0, 349, total, 51
0, 350, total, 107
0, 351, total, 79
0, 352, total, 55
0, 353, total, 14
0, 354, total, 0
0, 355, total, 0
0, 356, total, 69
0, 357, total, 138
0, 358, total, 101
0, 359, total, 49
0, 360, total, 35
0, 361, total, 48
0, 362, total, 17
0, 363, total, 127
0, 364, total, 226
0, 365, total, 220
0, 366, total, 170
0, 367, total, 107
0, 368, total, 132
0, 369, total, 145
0, 370, total, 271
0, 371, total, 354
0, 372, total, 371
0, 373, total, 342
0, 374, total, 280
0, 375, total, 314
0, 376, total, 329
0, 377, total, 448
0, 378, total, 548
0, 379, total, 565
0, 380, total, 527
0, 381, total, 477
0, 382, total, 504
0, 383, total, 561
0, 384, total, 666
0, 385, total, 764
0, 386, total, 774
0, 387, total, 716
0, 388, total, 660
0, 389, total, 683
0, 390, total, 701
0, 391, total, 816
0, 392, total, 918
0, 393, total, 909
0, 394, total, 867
0, 395, total, 832
0, 396, total, 853
0, 397, total, 904
0, 398, total, 1030
0, 399, total, 1144
0, 400, total, 1159
0, 401, total, 1122
0, 402, total, 1081
0, 403, total, 1090
0, 404, total, 1131
0, 405, total, 1263
0, 406, total, 1352
0, 407, total, 1357
0, 408, total, 1316
0, 409, total, 1291
0, 410, total, 1337
0, 411, total, 1383
0, 412, total, 1496
0, 413, total, 1590
0, 414, total, 1616
0, 415, total, 1594
0, 416, total, 1563
0, 417, total, 1576
0, 418, total, 1565
0, 419, total, 1654
0, 420, total, 1740
0, 421, total, 1737
0, 422, total, 1708
0, 423, total, 1670
0, 424, total, 1697
0, 425, total, 1748
0, 426, total, 1876
0, 427, total, 1975
0, 428, total, 1972
0, 429, total, 1928
0, 430, total, 1905
0, 431, total, 1943
0, 432, total, 1980
0, 433, total, 2080
0, 434, total, 2179
0, 435, total, 2180
0, 436, total, 2130
0, 437, total, 2084
0, 438, total, 2128
0, 439, total, 2168
0, 440, total, 2275
0, 441, total, 2383
0, 442, total, 2385
0, 443, total, 2343
0, 444, total, 2305
0, 445, total, 2345
0, 446, total, 2388
0, 447, total, 2475
0, 448, total, 2567
0, 449, total, 2578
0, 450, total, 2534
0, 451, total, 2473
0, 452, total, 2487
0, 453, total, 2482
0, 454, total, 2631
0, 455, total, 2737
0, 456, total, 2753
0, 457, total, 2682
0, 458, total, 2618
0, 459, total, 2649
0, 460, total, 2676
0, 461, total, 2785
0, 462, total, 2895
0, 463, total, 2893
0, 464, total, 2847
0, 465, total, 2806
0, 466, total, 2850
0, 467, total, 2840
0, 468, total, 2939
0, 469, total, 3044
0, 470, total, 3055
0, 471, total, 3006
0, 472, total, 2984
0, 473, total, 3019
0, 474, total, 3024
0, 475, total, 3101
0, 476, total, 3213
0, 477, total, 3186
0, 478, total, 3124
0, 479, total, 3070
0, 480, total, 3101
0, 481, total, 3132
0, 482, total, 3233
0, 483, total, 3332
0, 484, total, 3333
0, 485, total, 3276
0, 486, total, 3246
0, 487, total, 3264
0, 488, total, 3298
0, 489, total, 3393
0, 490, total, 3501
0, 491, total, 3483
0, 492, total, 3446
0, 493, total, 3406
0, 494, total, 3443
0, 495, total, 3463
0, 496, total, 3565
0, 497, total, 3669
0, 498, total, 3682
0, 499, total, 3643
0, 500, total, 3614
0, 501, total, 3646
0, 502, total, 3715
0, 503, total, 3814
0, 504, total, 3914
0, 505, total, 3918
0, 506, total, 3886
0, 507, total, 3830
0, 508, total, 3858
0, 509, total, 3877
0, 510, total, 3993
0, 511, total, 4089
0, 512, total, 4092
0, 513, total, 4031
0, 514, total, 3992
0, 515, total, 4024
0, 516, total, 4041
0, 517, total, 4171
0, 518, total, 4274
0, 519, total, 4262
0, 520, total, 4215
0, 521, total, 4168
0, 522, total, 4202
0, 523, total, 4192
0, 524, total, 4286
0, 525, total, 4371
0, 526, total, 4389
0, 527, total, 4340
0, 528, total, 4293
0, 529, total, 4333
0, 530, total, 4320
0, 531, total, 4408
0, 532, total, 4517
0, 533, total, 4510
0, 534, total, 4455
0, 535, total, 4419
0, 536, total, 4452
0, 537, total, 4487
0, 538, total, 4582
0, 539, total, 4699
0, 540, total, 4707
0, 541, total, 4665
0, 542, total, 4613
0, 543, total, 4662
0, 544, total, 4682
0, 545, total, 4804
0, 546, total, 4905
0, 547, total, 4915
0, 548, total, 4867
0, 549, total, 4834
0, 550, total, 4847
0, 551, total, 4869
0, 552, total, 5002
0, 553, total, 5080
0, 554, total, 5096
0, 555, total, 5071
0, 556, total, 5024
0, 557, total, 5090
0, 558, total, 5097
0, 559, total, 5220
0, 560, total, 5318
0, 561, total, 5323
0, 562, total, 5277
0, 563, total, 5229
0, 564, total, 5276
0, 565, total, 5303
0, 566, total, 5424
0, 567, total, 5546
0, 568, total, 5534
0, 569, total, 5500
0, 570, total, 5459
0, 571, total, 5498
0, 572, total, 5528
0, 573, total, 5620
0, 574, total, 5707
0, 575, total, 5725
0, 576, total, 5694
0, 577, total, 5656
0, 578, total, 5693
0, 579, total, 5723
0, 580, total, 5835
0, 581, total, 5943
0, 582, total, 5925
0, 583, total, 5886
0, 584, total, 5860
0, 585, total, 5891
0, 586, total, 5923
0, 587, total, 6065
0, 588, total, 6164
0, 589, total, 6152
0, 590, total, 6107
0, 591, total, 6061
0, 592, total, 6077
0, 593, total, 6110
0, 594, total, 6245
0, 595, total, 6357
0, 596, total, 6349
0, 597, total, 6322
0, 598, total, 6285
0, 599, total, 6308
0, 600, total, 6318
0, 601, total, 6447
0, 602, total, 6549
0, 603, total, 6568
0, 604, total, 6532
0, 605, total, 6503
0, 606, total, 6544
0, 607, total, 6555
0, 608, total, 6700
0, 609, total, 6799
0, 610, total, 6800
0, 611, total, 6778
0, 612, total, 6751
0, 613, total, 6778
0, 614, total, 6804
0, 615, total, 6911
0, 616, total, 7021
0, 617, total, 7022
0, 618, total, 6973
0, 619, total, 6936
0, 620, total, 6968
0, 621, total, 7001
0, 622, total, 7120
0, 623, total, 7225
0, 624, total, 7228
0, 625, total, 7183
0, 626, total, 7145
0, 627, total, 7188
0, 628, total, 7231
0, 629, total, 7374
0, 630, total, 7468
0, 631, total, 7500
0, 632, total, 7455
0, 633, total, 7412
0, 634, total, 7435
0, 635, total, 7463
0, 636, total, 7577
0, 637, total, 7683
0, 638, total, 7687
0, 639, total, 7642
0, 640, total, 7608
0, 641, total, 7631
0, 642, total, 7653
0, 643, total, 7772
0, 644, total, 7868
0, 645, total, 7863
0, 646, total, 7834
0, 647, total, 7796
0, 648, total, 7784
0, 649, total, 7787
0, 650, total, 7915
0, 651, total, 8035
0, 652, total, 8060
0, 653, total, 8021
0, 654, total, 7953
0, 655, total, 7978
0, 656, total, 8007
0, 657, total, 8095
0, 658, total, 8195
0, 659, total, 8190
0, 660, total, 8158
0, 661, total, 8111
0, 662, total, 8132
0, 663, total, 8150
0, 664, total, 8268
0, 665, total, 8356
0, 666, total, 8372
0, 667, total, 8327
0, 668, total, 8280
0, 669, total, 8301
0, 670, total, 8307
0, 671, total, 8418
0, 672, total, 8506
0, 673, total, 8476
0, 674, total, 8418
0, 675, total, 8387
0, 676, total, 8399
0, 677, total, 8429
0, 678, total, 8555
0, 679, total, 8669
0, 680, total, 8697
0, 681, total, 8655
0, 682, total, 8615
0, 683, total, 8636
0, 684, total, 8642
0, 685, total, 8767
0, 686, total, 8869
0, 687, total, 8890
0, 688, total, 8858
0, 689, total, 8810
0, 690, total, 8823
0, 691, total, 8830
0, 692, total, 8946
0, 693, total, 9051
0, 694, total, 9067
0, 695, total, 9017
0, 696, total, 8978
0, 697, total, 9005
0, 698, total, 9036
0, 699, total, 9152
0, 700, total, 9257
0, 701, total, 9265
0, 702, total, 9239
0, 703, total, 9220
0, 704, total, 9270
0, 705, total, 9283
0, 706, total, 9395
0, 707, total, 9487
0, 708, total, 9479
0, 709, total, 9440
0, 710, total, 9383
0, 711, total, 9421
0, 712, total, 9434
0, 713, total, 9578
0, 714, total, 9686
0, 715, total, 9705
0, 716, total, 9667
0, 717, total, 9639
0, 718, total, 9636
0, 719, total, 9645
0, 720, total, 9761
0, 721, total, 9914
0, 722, total, 9900
0, 723, total, 9840
0, 724, total, 9793
0, 725, total, 9796
0, 726, total, 9794
0, 727, total, 9896
0, 728, total, 10030
0, 729, total, 10035
0, 730, total, 9990
0, 731, total, 9948
0, 732, total, 9932
0, 733, total, 9887
0, 734, total, 9983
0, 735, total, 10096
0, 736, total, 10101
0, 737, total, 10062
0, 738, total, 10015
0, 739, total, 10035
0, 740, total, 10035
0, 741, total, 10130
0, 742, total, 10224
0, 743, total, 10224
0, 744, total, 10182
0, 745, total, 10133
0, 746, total, 10123
0, 747, total, 10133
0, 748, total, 10266
0, 749, total, 10365
0, 750, total, 10352
0, 751, total, 10322
0, 752, total, 10268
0, 753, total, 10267
0, 754, total, 10279
0, 755, total, 10391
0, 756, total, 10498
0, 757, total, 10532
0, 758, total, 10495
0, 759, total, 10449
0, 760, total, 10405
0, 761, total, 10401
0, 762, total, 10494
0, 763, total, 10592
0, 764, total, 10583
0, 765, total, 10562
0, 766, total, 10530
0, 767, total, 10516
0, 768, total, 10537
0, 769, total, 10615
0, 770, total, 10739
0, 771, total, 10758
0, 772, total, 10725
0, 773, total, 10699
0, 774, total, 10678
0, 775, total, 10669
0, 776, total, 10776
0, 777, total, 10885
0, 778, total, 10903
0, 779, total, 10870
0, 780, total, 10799
0, 781, total, 10802
0, 782, total, 10756
0, 783, total, 10857
0, 784, total, 10947
0, 785, total, 10950
0, 786, total, 10902
0, 787, total, 10878
0, 788, total, 10886
0, 789, total, 10906
0, 790, total, 10978
0, 791, total, 11084
0, 792, total, 11064
0, 793, total, 11026
0, 794, total, 10974
0, 795, total, 10968
0, 796, total, 10987
0, 797, total, 11091
0, 798, total, 11220
0, 799, total, 11250
0, 800, total, 11203
0, 801, total, 11144
0, 802, total, 11139
0, 803, total, 11131
0, 804, total, 11230
0, 805, total, 11335
0, 806, total, 11332
0, 807, total, 11268
0, 808, total, 11214
0, 809, total, 11235
0, 810, total, 11219
0, 811, total, 11321
0, 812, total, 11424
0, 813, total, 11408
0, 814, total, 11370
0, 815, total, 11315
0, 816, total, 11313
0, 817, total, 11336
0, 818, total, 11471
0, 819, total, 11524
0, 820, total, 11546
0, 821, total, 11517
0, 822, total, 11480
0, 823, total, 11482
0, 824, total, 11463
0, 825, total, 11565
0, 826, total, 11683
0, 827, total, 11702
0, 828, total, 11663
0, 829, total, 11612
0, 830, total, 11615
0, 831, total, 11582
0, 832, total, 11676
0, 833, total, 11779
0, 834, total, 11797
0, 835, total, 11745
0, 836, total, 11712
0, 837, total, 11729
0, 838, total, 11740
0, 839, total, 11861
0, 840, total, 11947
0, 841, total, 11943
0, 842, total, 11905
0, 843, total, 11857
0, 844, total, 11877
0, 845, total, 11868
0, 846, total, 11989
0, 847, total, 12080
0, 848, total, 12065
0, 849, total, 12015
0, 850, total, 11967
0, 851, total, 11970
0, 852, total, 11980
0, 853, total, 12087
0, 854, total, 12202
0, 855, total, 12254
0, 856, total, 12224
0, 857, total, 12177
0, 858, total, 12147
0, 859, total, 12121
0, 860, total, 12228
0, 861, total, 12325
0, 862, total, 12326
0, 863, total, 12289
0, 864, total, 12255
0, 865, total, 12253
0, 866, total, 12263
0, 867, total, 12352
