Replication, Day, Queued To, Queue Amount
0, 0, total, 0
0, 1, total, 0
0, 2, total, 0
0, 3, total, 0
0, 4, total, 0
0, 5, total, 0
0, 6, total, 56
0, 7, total, 108
0, 8, total, 63
0, 9, total, 17
0, 10, total, 0
0, 11, total, 0
0, 12, total, 0
0, 13, total, 67
0, 14, total, 120
0, 15, total, 77
0, 16, total, 33
0, 17, total, 0
0, 18, total, 0
0, 19, total, 0
0, 20, total, 48
0, 21, total, 102
0, 22, total, 65
0, 23, total, 2
0, 24, total, 0
0, 25, total, 0
0, 26, total, 0
0, 27, total, 55
0, 28, total, 97
0, 29, total, 24
0, 30, total, 0
0, 31, total, 0
0, 32, total, 0
0, 33, total, 0
0, 34, total, 59
0, 35, total, 123
0, 36, total, 94
0, 37, total, 26
0, 38, total, 0
0, 39, total, 0
0, 40, total, 0
0, 41, total, 49
0, 42, total, 112
0, 43, total, 73
0, 44, total, 12
0, 45, total, 0
0, 46, total, 0
0, 47, total, 0
0, 48, total, 55
0, 49, total, 118
0, 50, total, 69
0, 51, total, 22
0, 52, total, 0
0, 53, total, 0
0, 54, total, 0
0, 55, total, 48
0, 56, total, 93
0, 57, total, 14
0, 58, total, 0
0, 59, total, 0
0, 60, total, 0
0, 61, total, 0
0, 62, total, 53
0, 63, total, 113
0, 64, total, 76
0, 65, total, 38
0, 66, total, 0
0, 67, total, 0
0, 68, total, 0
0, 69, total, 43
0, 70, total, 91
0, 71, total, 39
0, 72, total, 1
0, 73, total, 0
0, 74, total, 0
0, 75, total, 0
0, 76, total, 50
0, 77, total, 102
0, 78, total, 33
0, 79, total, 0
0, 80, total, 0
0, 81, total, 0
0, 82, total, 0
0, 83, total, 45
0, 84, total, 98
0, 85, total, 36
0, 86, total, 6
0, 87, total, 0
0, 88, total, 0
0, 89, total, 0
0, 90, total, 66
0, 91, total, 111
0, 92, total, 81
0, 93, total, 52
0, 94, total, 16
0, 95, total, 0
0, 96, total, 0
0, 97, total, 43
0, 98, total, 102
0, 99, total, 75
0, 100, total, 18
0, 101, total, 0
0, 102, total, 0
0, 103, total, 0
0, 104, total, 44
0, 105, total, 104
0, 106, total, 71
0, 107, total, 32
0, 108, total, 0
0, 109, total, 0
0, 110, total, 0
0, 111, total, 54
0, 112, total, 114
0, 113, total, 89
0, 114, total, 51
0, 115, total, 13
0, 116, total, 0
0, 117, total, 0
0, 118, total, 36
0, 119, total, 107
0, 120, total, 64
0, 121, total, 9
0, 122, total, 0
0, 123, total, 0
0, 124, total, 0
0, 125, total, 56
0, 126, total, 120
0, 127, total, 94
0, 128, total, 66
0, 129, total, 8
0, 130, total, 0
0, 131, total, 0
0, 132, total, 52
0, 133, total, 98
0, 134, total, 62
0, 135, total, 20
0, 136, total, 0
0, 137, total, 0
0, 138, total, 0
0, 139, total, 63
0, 140, total, 125
0, 141, total, 72
0, 142, total, 20
0, 143, total, 0
0, 144, total, 0
0, 145, total, 0
0, 146, total, 44
0, 147, total, 98
0, 148, total, 40
0, 149, total, 4
0, 150, total, 0
0, 151, total, 0
0, 152, total, 0
0, 153, total, 59
0, 154, total, 123
0, 155, total, 96
0, 156, total, 32
0, 157, total, 0
0, 158, total, 0
0, 159, total, 0
0, 160, total, 50
0, 161, total, 133
0, 162, total, 103
0, 163, total, 48
0, 164, total, 3
0, 165, total, 0
0, 166, total, 0
0, 167, total, 55
0, 168, total, 118
0, 169, total, 78
0, 170, total, 32
0, 171, total, 0
0, 172, total, 0
0, 173, total, 0
0, 174, total, 53
0, 175, total, 103
0, 176, total, 59
0, 177, total, 11
0, 178, total, 0
0, 179, total, 0
0, 180, total, 0
0, 181, total, 35
0, 182, total, 91
0, 183, total, 59
0, 184, total, 13
0, 185, total, 0
0, 186, total, 0
0, 187, total, 0
0, 188, total, 37
0, 189, total, 113
0, 190, total, 59
0, 191, total, 37
0, 192, total, 0
0, 193, total, 0
0, 194, total, 0
0, 195, total, 52
0, 196, total, 119
0, 197, total, 75
0, 198, total, 29
0, 199, total, 0
0, 200, total, 0
0, 201, total, 0
0, 202, total, 64
0, 203, total, 121
0, 204, total, 79
0, 205, total, 53
0, 206, total, 12
0, 207, total, 0
0, 208, total, 0
0, 209, total, 51
0, 210, total, 105
0, 211, total, 64
0, 212, total, 19
0, 213, total, 0
0, 214, total, 0
0, 215, total, 0
0, 216, total, 43
0, 217, total, 111
0, 218, total, 74
0, 219, total, 8
0, 220, total, 0
0, 221, total, 0
0, 222, total, 0
0, 223, total, 59
0, 224, total, 137
0, 225, total, 119
0, 226, total, 78
0, 227, total, 21
0, 228, total, 0
0, 229, total, 0
0, 230, total, 48
0, 231, total, 102
0, 232, total, 65
0, 233, total, 14
0, 234, total, 0
0, 235, total, 0
0, 236, total, 0
0, 237, total, 52
0, 238, total, 128
0, 239, total, 90
0, 240, total, 48
0, 241, total, 1
0, 242, total, 0
0, 243, total, 0
0, 244, total, 35
0, 245, total, 94
0, 246, total, 61
0, 247, total, 15
0, 248, total, 0
0, 249, total, 0
0, 250, total, 0
0, 251, total, 44
0, 252, total, 106
0, 253, total, 44
0, 254, total, 5
0, 255, total, 0
0, 256, total, 0
0, 257, total, 0
0, 258, total, 46
0, 259, total, 115
0, 260, total, 70
0, 261, total, 29
0, 262, total, 0
0, 263, total, 0
0, 264, total, 0
0, 265, total, 55
0, 266, total, 119
0, 267, total, 86
0, 268, total, 60
0, 269, total, 22
0, 270, total, 0
0, 271, total, 0
0, 272, total, 38
0, 273, total, 98
0, 274, total, 68
0, 275, total, 46
0, 276, total, 5
0, 277, total, 0
0, 278, total, 0
0, 279, total, 55
0, 280, total, 111
0, 281, total, 73
0, 282, total, 61
0, 283, total, 38
0, 284, total, 0
0, 285, total, 0
0, 286, total, 56
0, 287, total, 121
0, 288, total, 79
0, 289, total, 30
0, 290, total, 0
0, 291, total, 0
0, 292, total, 0
0, 293, total, 48
0, 294, total, 109
0, 295, total, 92
0, 296, total, 64
0, 297, total, 16
0, 298, total, 0
0, 299, total, 0
0, 300, total, 65
0, 301, total, 132
0, 302, total, 108
0, 303, total, 70
0, 304, total, 19
0, 305, total, 0
0, 306, total, 0
0, 307, total, 46
0, 308, total, 95
0, 309, total, 28
0, 310, total, 0
0, 311, total, 0
0, 312, total, 0
0, 313, total, 0
0, 314, total, 58
0, 315, total, 113
0, 316, total, 56
0, 317, total, 28
0, 318, total, 15
0, 319, total, 0
0, 320, total, 0
0, 321, total, 49
0, 322, total, 96
0, 323, total, 51
0, 324, total, 20
0, 325, total, 0
0, 326, total, 0
0, 327, total, 0
0, 328, total, 43
0, 329, total, 100
0, 330, total, 34
0, 331, total, 12
0, 332, total, 0
0, 333, total, 0
0, 334, total, 0
0, 335, total, 45
0, 336, total, 101
0, 337, total, 58
0, 338, total, 1
0, 339, total, 0
0, 340, total, 0
0, 341, total, 0
0, 342, total, 57
0, 343, total, 123
0, 344, total, 90
0, 345, total, 25
0, 346, total, 3
0, 347, total, 0
0, 348, total, 0
0, 349, total, 38
0, 350, total, 96
0, 351, total, 73
0, 352, total, 15
0, 353, total, 0
0, 354, total, 0
0, 355, total, 0
0, 356, total, 49
0, 357, total, 99
0, 358, total, 59
0, 359, total, 14
0, 360, total, 0
0, 361, total, 0
0, 362, total, 0
0, 363, total, 39
0, 364, total, 87
0, 365, total, 52
0, 366, total, 23
0, 367, total, 0
0, 368, total, 0
0, 369, total, 0
0, 370, total, 41
0, 371, total, 91
0, 372, total, 48
0, 373, total, 15
0, 374, total, 0
0, 375, total, 0
0, 376, total, 0
0, 377, total, 34
0, 378, total, 94
0, 379, total, 66
0, 380, total, 54
0, 381, total, 17
0, 382, total, 0
0, 383, total, 0
0, 384, total, 46
0, 385, total, 111
0, 386, total, 61
0, 387, total, 1
0, 388, total, 0
0, 389, total, 0
0, 390, total, 0
0, 391, total, 47
0, 392, total, 115
0, 393, total, 82
0, 394, total, 58
0, 395, total, 11
0, 396, total, 0
0, 397, total, 0
0, 398, total, 57
0, 399, total, 114
0, 400, total, 87
0, 401, total, 64
0, 402, total, 21
0, 403, total, 0
0, 404, total, 0
0, 405, total, 55
0, 406, total, 107
0, 407, total, 70
0, 408, total, 35
0, 409, total, 0
0, 410, total, 0
0, 411, total, 0
0, 412, total, 49
0, 413, total, 102
0, 414, total, 76
0, 415, total, 56
0, 416, total, 21
0, 417, total, 0
0, 418, total, 0
0, 419, total, 52
0, 420, total, 108
0, 421, total, 59
0, 422, total, 0
0, 423, total, 0
0, 424, total, 0
0, 425, total, 0
0, 426, total, 55
0, 427, total, 112
0, 428, total, 63
0, 429, total, 42
0, 430, total, 0
0, 431, total, 0
0, 432, total, 0
0, 433, total, 37
0, 434, total, 92
0, 435, total, 63
0, 436, total, 40
0, 437, total, 0
0, 438, total, 0
0, 439, total, 0
0, 440, total, 55
0, 441, total, 106
0, 442, total, 73
0, 443, total, 36
0, 444, total, 11
0, 445, total, 0
0, 446, total, 0
0, 447, total, 52
0, 448, total, 103
0, 449, total, 57
0, 450, total, 13
0, 451, total, 0
0, 452, total, 0
0, 453, total, 0
0, 454, total, 50
0, 455, total, 112
0, 456, total, 86
0, 457, total, 27
0, 458, total, 0
0, 459, total, 0
0, 460, total, 0
0, 461, total, 46
0, 462, total, 98
0, 463, total, 53
0, 464, total, 1
0, 465, total, 0
0, 466, total, 0
0, 467, total, 0
0, 468, total, 48
0, 469, total, 106
0, 470, total, 60
0, 471, total, 14
0, 472, total, 0
0, 473, total, 0
0, 474, total, 0
0, 475, total, 65
0, 476, total, 116
0, 477, total, 48
0, 478, total, 13
0, 479, total, 0
0, 480, total, 0
0, 481, total, 0
0, 482, total, 41
0, 483, total, 107
0, 484, total, 63
0, 485, total, 43
0, 486, total, 0
0, 487, total, 0
0, 488, total, 0
0, 489, total, 64
0, 490, total, 128
0, 491, total, 91
0, 492, total, 43
0, 493, total, 0
0, 494, total, 0
0, 495, total, 0
0, 496, total, 55
0, 497, total, 113
0, 498, total, 80
0, 499, total, 28
0, 500, total, 0
0, 501, total, 0
0, 502, total, 0
0, 503, total, 53
0, 504, total, 111
0, 505, total, 48
0, 506, total, 9
0, 507, total, 0
0, 508, total, 0
0, 509, total, 0
0, 510, total, 64
0, 511, total, 124
0, 512, total, 95
0, 513, total, 52
0, 514, total, 18
0, 515, total, 0
0, 516, total, 0
0, 517, total, 42
0, 518, total, 94
0, 519, total, 47
0, 520, total, 14
0, 521, total, 0
0, 522, total, 0
0, 523, total, 0
0, 524, total, 60
0, 525, total, 122
0, 526, total, 93
0, 527, total, 62
0, 528, total, 14
0, 529, total, 0
0, 530, total, 0
0, 531, total, 51
0, 532, total, 111
0, 533, total, 86
0, 534, total, 43
0, 535, total, 19
0, 536, total, 0
0, 537, total, 0
0, 538, total, 51
0, 539, total, 113
0, 540, total, 68
0, 541, total, 41
0, 542, total, 0
0, 543, total, 0
0, 544, total, 0
0, 545, total, 49
0, 546, total, 123
0, 547, total, 67
0, 548, total, 25
0, 549, total, 0
0, 550, total, 0
0, 551, total, 0
0, 552, total, 49
0, 553, total, 103
0, 554, total, 65
0, 555, total, 14
0, 556, total, 0
0, 557, total, 0
0, 558, total, 0
0, 559, total, 49
0, 560, total, 112
0, 561, total, 74
0, 562, total, 33
0, 563, total, 0
0, 564, total, 0
0, 565, total, 0
0, 566, total, 45
0, 567, total, 98
0, 568, total, 69
0, 569, total, 36
0, 570, total, 0
0, 571, total, 0
0, 572, total, 0
0, 573, total, 59
0, 574, total, 122
0, 575, total, 70
0, 576, total, 49
0, 577, total, 0
0, 578, total, 0
0, 579, total, 0
0, 580, total, 54
0, 581, total, 111
0, 582, total, 76
0, 583, total, 39
0, 584, total, 0
0, 585, total, 0
0, 586, total, 0
0, 587, total, 48
0, 588, total, 96
0, 589, total, 69
0, 590, total, 4
0, 591, total, 0
0, 592, total, 0
0, 593, total, 0
0, 594, total, 39
0, 595, total, 99
0, 596, total, 30
0, 597, total, 14
0, 598, total, 0
0, 599, total, 0
0, 600, total, 0
0, 601, total, 57
0, 602, total, 111
0, 603, total, 59
0, 604, total, 46
0, 605, total, 2
0, 606, total, 0
0, 607, total, 0
0, 608, total, 53
0, 609, total, 104
0, 610, total, 74
0, 611, total, 5
0, 612, total, 0
0, 613, total, 0
0, 614, total, 0
0, 615, total, 53
0, 616, total, 113
0, 617, total, 74
0, 618, total, 53
0, 619, total, 36
0, 620, total, 0
0, 621, total, 0
0, 622, total, 57
0, 623, total, 116
0, 624, total, 90
0, 625, total, 66
0, 626, total, 26
0, 627, total, 0
0, 628, total, 0
0, 629, total, 49
0, 630, total, 111
0, 631, total, 79
0, 632, total, 44
0, 633, total, 0
0, 634, total, 0
0, 635, total, 0
0, 636, total, 63
0, 637, total, 130
0, 638, total, 116
0, 639, total, 79
0, 640, total, 49
0, 641, total, 5
0, 642, total, 0
0, 643, total, 45
0, 644, total, 114
0, 645, total, 43
0, 646, total, 10
0, 647, total, 0
0, 648, total, 0
0, 649, total, 0
0, 650, total, 55
0, 651, total, 119
0, 652, total, 62
0, 653, total, 16
0, 654, total, 0
0, 655, total, 0
0, 656, total, 0
0, 657, total, 58
0, 658, total, 122
0, 659, total, 67
0, 660, total, 26
0, 661, total, 0
0, 662, total, 0
0, 663, total, 0
0, 664, total, 55
0, 665, total, 115
0, 666, total, 51
0, 667, total, 36
0, 668, total, 0
0, 669, total, 0
0, 670, total, 0
0, 671, total, 54
0, 672, total, 117
0, 673, total, 67
0, 674, total, 45
0, 675, total, 0
0, 676, total, 0
0, 677, total, 0
0, 678, total, 55
0, 679, total, 115
0, 680, total, 72
0, 681, total, 26
0, 682, total, 0
0, 683, total, 0
0, 684, total, 0
0, 685, total, 43
0, 686, total, 99
0, 687, total, 54
0, 688, total, 6
0, 689, total, 0
0, 690, total, 0
0, 691, total, 0
0, 692, total, 53
0, 693, total, 122
0, 694, total, 90
0, 695, total, 44
0, 696, total, 6
0, 697, total, 0
0, 698, total, 0
0, 699, total, 76
0, 700, total, 144
0, 701, total, 108
0, 702, total, 78
0, 703, total, 31
0, 704, total, 0
0, 705, total, 0
0, 706, total, 40
0, 707, total, 98
0, 708, total, 47
0, 709, total, 0
0, 710, total, 0
0, 711, total, 0
0, 712, total, 0
0, 713, total, 48
0, 714, total, 102
0, 715, total, 56
0, 716, total, 0
0, 717, total, 0
0, 718, total, 0
0, 719, total, 0
0, 720, total, 53
0, 721, total, 132
0, 722, total, 115
0, 723, total, 100
0, 724, total, 129
0, 725, total, 138
0, 726, total, 110
0, 727, total, 165
0, 728, total, 279
0, 729, total, 325
0, 730, total, 326
0, 731, total, 325
0, 732, total, 339
0, 733, total, 296
0, 734, total, 339
0, 735, total, 472
0, 736, total, 509
0, 737, total, 536
0, 738, total, 519
0, 739, total, 515
0, 740, total, 472
0, 741, total, 521
0, 742, total, 655
0, 743, total, 717
0, 744, total, 702
0, 745, total, 668
0, 746, total, 682
0, 747, total, 656
0, 748, total, 710
0, 749, total, 862
0, 750, total, 872
0, 751, total, 883
0, 752, total, 860
0, 753, total, 824
0, 754, total, 794
0, 755, total, 835
0, 756, total, 950
0, 757, total, 997
0, 758, total, 1038
0, 759, total, 1024
0, 760, total, 1024
0, 761, total, 1003
0, 762, total, 1061
0, 763, total, 1194
0, 764, total, 1248
0, 765, total, 1274
0, 766, total, 1264
0, 767, total, 1256
0, 768, total, 1196
0, 769, total, 1238
0, 770, total, 1381
0, 771, total, 1410
0, 772, total, 1416
0, 773, total, 1408
0, 774, total, 1395
0, 775, total, 1358
0, 776, total, 1417
0, 777, total, 1559
0, 778, total, 1576
0, 779, total, 1559
0, 780, total, 1561
0, 781, total, 1566
0, 782, total, 1517
0, 783, total, 1567
0, 784, total, 1686
0, 785, total, 1721
0, 786, total, 1757
0, 787, total, 1767
0, 788, total, 1770
0, 789, total, 1725
0, 790, total, 1767
0, 791, total, 1919
0, 792, total, 1952
0, 793, total, 1950
0, 794, total, 1958
0, 795, total, 1953
0, 796, total, 1909
0, 797, total, 1965
0, 798, total, 2110
0, 799, total, 2131
0, 800, total, 2130
0, 801, total, 2144
0, 802, total, 2127
0, 803, total, 2079
0, 804, total, 2128
0, 805, total, 2259
0, 806, total, 2297
0, 807, total, 2313
0, 808, total, 2302
0, 809, total, 2301
0, 810, total, 2258
0, 811, total, 2309
0, 812, total, 2416
0, 813, total, 2436
0, 814, total, 2470
0, 815, total, 2483
0, 816, total, 2496
0, 817, total, 2463
0, 818, total, 2506
0, 819, total, 2615
0, 820, total, 2655
0, 821, total, 2653
0, 822, total, 2664
0, 823, total, 2654
0, 824, total, 2621
0, 825, total, 2684
0, 826, total, 2833
0, 827, total, 2861
0, 828, total, 2902
0, 829, total, 2894
0, 830, total, 2881
0, 831, total, 2842
0, 832, total, 2889
0, 833, total, 3033
0, 834, total, 3071
0, 835, total, 3105
0, 836, total, 3115
0, 837, total, 3114
0, 838, total, 3079
0, 839, total, 3122
0, 840, total, 3235
0, 841, total, 3285
0, 842, total, 3300
0, 843, total, 3306
0, 844, total, 3330
0, 845, total, 3276
0, 846, total, 3331
0, 847, total, 3470
0, 848, total, 3500
0, 849, total, 3549
0, 850, total, 3559
0, 851, total, 3565
0, 852, total, 3517
0, 853, total, 3562
0, 854, total, 3693
0, 855, total, 3732
0, 856, total, 3741
0, 857, total, 3759
0, 858, total, 3776
0, 859, total, 3718
0, 860, total, 3761
0, 861, total, 3901
0, 862, total, 3950
0, 863, total, 3965
0, 864, total, 3969
0, 865, total, 3964
0, 866, total, 3920
0, 867, total, 3966
0, 868, total, 4101
0, 869, total, 4106
0, 870, total, 4109
0, 871, total, 4122
0, 872, total, 4105
0, 873, total, 4050
0, 874, total, 4103
0, 875, total, 4234
0, 876, total, 4284
0, 877, total, 4341
0, 878, total, 4344
0, 879, total, 4351
0, 880, total, 4321
0, 881, total, 4365
0, 882, total, 4502
0, 883, total, 4554
0, 884, total, 4590
0, 885, total, 4580
0, 886, total, 4576
0, 887, total, 4530
0, 888, total, 4576
0, 889, total, 4713
0, 890, total, 4769
0, 891, total, 4831
0, 892, total, 4831
0, 893, total, 4827
0, 894, total, 4779
0, 895, total, 4841
0, 896, total, 4962
0, 897, total, 4973
0, 898, total, 4965
0, 899, total, 4971
0, 900, total, 4961
